incomegp	house	children	singpar	agegp	bankacc	bsocacc	manage	ccarduse	cigbuy	xmasbuy	locintrn	prodebt
400	2	2	0	0	3	1	0	4	1	0	1	3.670000076	NA
401	5	2	2	0	1	1	1	3	2	1	1	2.829999924	3.940000057
402	5	2	2	0	2	1	1	5	1	1	1	5.170000076	2.059999943
403	4	3	0	0	4	1	1	5	3	1	1	5	2.880000114
404	2	2	2	0	2	NA	NA	4	1	0	1	5.829999924	2.75999999
405	3	2	0	0	2	1	0	4	1	NA	NA	4.5	4.119999886
406	1	1	0	0	4	0	0	4	1	0	1	4	2.470000029
407	1	1	0	0	4	0	0	5	1	0	1	4	3.349999905
408	5	2	3	0	2	1	1	3	1	0	1	4.5	3
409	1	1	3	0	1	1	NA	4	2	0	1	2.829999924	3.880000114
410	5	2	0	0	1	1	1	4	3	0	0	3.5	3.289999962
411	NA	2	2	0	2	0	1	4	2	0	1	3.5	3.650000095
412	5	2	0	0	2	1	1	3	2	0	1	4.670000076	NA
413	NA	2	2	0	3	1	1	4	1	1	1	3.329999924	4.409999847
414	3	2	0	0	1	1	0	4	1	0	1	4.329999924	3.710000038
415	5	2	0	0	1	1	1	4	1	1	1	4.829999924	1.879999995
416	2	1	4	0	2	1	NA	3	1	0	1	4.329999924	5.179999828
417	1	2	2	0	2	1	1	5	1	1	1	3.829999924	2.819999933
418	1	3	0	0	4	NA	NA	NA	1	0	1	3.670000076	NA
419	1	1	0	0	2	0	0	4	NA	0	1	4	3.180000067
420	5	2	0	0	3	1	1	4	2	0	1	5	4.059999943
421	1	1	1	0	1	NA	NA	3	1	1	1	3.170000076	2.940000057
422	1	1	2	0	1	1	0	4	1	1	1	4.329999924	3.880000114
423	4	2	2	0	2	NA	NA	NA	NA	NA	NA	3.170000076	3.710000038
424	3	2	0	0	4	1	1	4	1	0	1	3.329999924	3.650000095
425	2	1	4	0	2	1	1	5	1	1	1	4.329999924	3.529999971
426	NA	2	2	0	2	NA	NA	2	1	0	1	4	4.059999943
427	1	1	1	1	1	0	0	4	1	1	0	4	2.819999933
428	3	3	0	0	3	1	1	4	2	0	0	4.5	3
429	5	2	2	0	2	1	1	5	1	0	1	4.829999924	3.880000114
430	4	2	0	0	1	1	1	4	1	0	1	4	4.53000021
431	1	2	1	1	3	1	1	3	1	0	1	4	NA
432	3	2	2	1	2	1	0	4	2	NA	NA	2.670000076	3.819999933
433	2	1	2	0	2	1	0	4	2	0	1	6	NA
434	2	2	1	0	3	1	0	5	1	0	1	6	1.409999967
435	4	2	2	0	1	1	1	5	3	0	1	NA	3.589999914
436	1	3	0	0	4	0	1	5	1	1	1	4	2.940000057
437	3	2	0	0	1	1	1	5	NA	1	0	5.5	2.940000057
438	4	2	1	0	2	1	0	4	1	0	1	4.829999924	4
439	2	1	4	0	2	1	0	3	1	1	0	4.670000076	3.119999886
440	5	2	0	0	3	1	1	4	3	0	1	5.329999924	2.650000095
441	2	1	3	1	2	0	1	3	NA	1	1	5.170000076	3.589999914
442	3	3	0	0	3	1	1	4	2	0	1	3.170000076	3.470000029
443	3	3	0	0	3	1	1	5	3	0	1	3.329999924	2.24000001
444	1	1	1	1	2	0	1	2	1	0	1	3.5	3.819999933
445	5	2	1	0	3	1	0	3	1	0	1	4	3.410000086
446	1	3	1	1	2	1	0	5	2	0	1	3.5	2.589999914
447	1	3	0	0	4	1	0	5	2	0	1	NA	2.940000057
448	3	2	0	0	3	1	1	5	3	0	1	4.329999924	4.059999943
449	5	1	0	0	1	1	NA	4	3	0	1	4.5	NA
450	3	3	0	0	3	1	1	5	1	1	1	4.170000076	1.590000033
451	5	2	0	0	2	1	1	5	3	0	1	NA	NA
452	3	3	0	0	3	1	1	4	3	0	0	3.329999924	2.710000038
453	4	3	0	0	4	1	0	4	NA	1	0	4.5	NA
454	5	2	1	0	2	1	1	4	3	0	1	5.829999924	3.119999886
455	2	3	0	0	4	1	1	4	2	0	1	2.829999924	NA
456	3	3	1	0	3	1	0	4	2	0	1	5.829999924	3.349999905
457	5	2	0	0	3	1	1	4	2	1	0	NA	3.470000029
458	5	1	0	0	4	1	1	4	1	1	1	5.670000076	2.529999971
459	3	2	0	0	2	1	0	1	1	1	1	3.829999924	3.289999962
460	5	2	1	0	2	1	1	5	2	0	1	5.670000076	3.119999886
461	NA	2	3	0	3	1	1	2	NA	NA	NA	NA	2.819999933
462	3	2	1	1	3	1	1	5	3	0	1	4	3.529999971
463	5	3	2	0	2	1	0	3	3	0	1	4.670000076	4.710000038
464	5	3	1	0	3	1	0	5	3	0	1	4.329999924	3.710000038
