wage	educ	exper	race	smsa	ne	mw	so	we	pt
20946	2374.15	18	13	0	1	0	0	1	0	0
27550	764.48	13	14	0	1	0	0	0	1	0
891	735.99	16	7	0	1	1	0	0	0	0
22302	282.92	16	7	0	0	0	0	0	1	0
6469	712.25	10	38	0	1	0	1	0	0	0
20650	1424.5	16	31	0	1	0	0	1	0	0
5432	1068.38	14	50	0	1	1	0	0	0	0
21675	997.15	12	16	0	1	0	0	1	0	0
12272	123.46	14	-1	0	0	0	1	0	0	1
5208	332.38	14	11	0	1	1	0	0	0	0
25787	676.64	12	19	0	1	0	0	0	1	0
13525	641.03	12	22	0	0	0	0	1	0	0
17410	664.77	12	20	1	1	0	0	1	0	0
4896	1543.21	16	14	0	1	1	0	0	0	0
27431	411.52	12	6	0	1	0	0	0	1	0
22824	264.55	14	3	0	0	0	0	0	1	0
9162	949.67	13	23	0	1	0	1	0	0	0
16790	498.58	12	29	0	1	0	0	1	0	0
7155	381.43	16	4	0	1	0	1	0	0	1
17014	2374.15	16	21	0	1	0	0	1	0	0
22772	399.29	16	4	0	0	0	0	0	1	0
2679	593.54	14	18	0	1	1	0	0	0	0
2546	712.25	18	13	0	1	1	0	0	0	0
26588	65.43	17	-1	0	1	0	0	0	1	1
4984	997.15	12	17	0	1	1	0	0	0	0
1283	759.73	12	7	0	1	1	0	0	0	0
17843	441.05	12	38	0	1	0	0	1	0	0
17217	1780.63	11	39	0	1	0	0	1	0	0
1988	949.67	18	36	0	1	1	0	0	0	0
13874	295.31	10	47	1	1	0	0	1	0	0
15215	179.63	12	1	0	1	0	0	1	0	0
11260	1424.5	14	27	0	1	0	1	0	0	0
8132	935.92	16	30	0	1	0	1	0	0	0
11771	759.73	12	29	0	0	0	1	0	0	0
26084	712.25	12	21	0	1	0	0	0	1	0
4117	664.77	12	24	0	1	1	0	0	0	0
18111	1471.98	17	16	0	1	0	0	1	0	0
2605	250.47	6	48	0	1	1	0	0	0	0
8124	356.13	8	10	0	1	0	1	0	0	0
21680	740.74	9	46	0	1	0	0	1	0	0
10428	835	16	18	0	1	0	1	0	0	0
12372	422.1	12	6	0	0	0	1	0	0	0
13320	795.35	14	8	0	1	0	0	1	0	0
19369	735.99	12	21	0	1	0	0	1	0	0
8030	522.32	18	31	0	1	0	1	0	0	0
8185	674.26	16	9	0	1	0	1	0	0	0
782	619.66	16	15	0	0	1	0	0	0	0
13141	356.13	12	3	0	1	0	1	0	0	0
12197	474.83	12	11	0	1	0	1	0	0	0
26109	617.28	18	17	0	1	0	0	0	1	0
9013	546.06	12	29	0	0	0	1	0	0	0
6857	747.86	16	7	0	1	0	1	0	0	0
10531	712.25	9	29	0	0	0	1	0	0	0
17615	997.15	18	11	0	1	0	0	1	0	0
12577	284.9	18	3	0	0	0	1	0	0	0
12398	130.58	18	38	0	0	0	1	0	0	0
86	555.56	12	26	0	0	1	0	0	0	0
10506	308.64	13	20	0	0	0	1	0	0	1
9160	842.1	14	17	0	1	0	1	0	0	0
22008	1151.47	13	20	0	1	0	0	1	0	0
751	854.7	12	8	0	0	1	0	0	0	0
16550	712.25	16	6	0	1	0	0	1	0	0
3080	135.03	12	4	0	1	1	0	0	0	1
16814	444.44	12	17	0	0	0	0	1	0	0
8609	657.64	12	10	0	1	0	1	0	0	0
17225	845.68	12	28	0	1	0	0	1	0	0
21549	973.41	16	18	0	1	0	0	1	0	0
27207	1187.08	16	19	0	1	0	0	0	1	0
17525	830.96	13	18	0	1	0	0	1	0	0
5053	593.54	12	21	0	1	1	0	0	0	0
26993	2160.49	14	27	0	1	0	0	0	1	0
24829	949.67	14	15	0	1	0	0	0	1	0
17140	522.32	17	10	0	1	0	0	1	0	0
11982	329.3	13	33	0	0	0	1	0	0	0
12686	1020.89	16	20	0	1	0	1	0	0	0
26278	474.83	18	6	0	1	0	0	0	1	0
12305	664.77	13	32	0	1	0	1	0	0	0
857	359.26	12	11	0	1	1	0	0	0	0
12616	610.16	12	25	0	1	0	1	0	0	0
13261	230.29	14	25	0	0	0	1	0	0	1
21486	427.35	13	13	0	1	0	0	1	0	0
4368	830.96	16	8	0	1	1	0	0	0	0
20446	329.22	12	8	0	0	0	0	1	0	0
27302	806.27	12	26	0	1	0	0	0	1	0
1245	377.91	16	23	0	1	1	0	0	0	0
15916	284.9	10	12	1	1	0	0	1	0	0
3126	339.51	15	2	0	1	1	0	0	0	0
15688	142.11	15	44	0	0	0	0	1	0	1
3708	569.8	8	38	0	1	1	0	0	0	0
2051	156.89	13	-1	0	1	1	0	0	0	1
2072	776.09	14	11	0	1	1	0	0	0	0
1705	1044.63	18	28	0	1	1	0	0	0	0
14146	688.51	11	26	1	1	0	0	1	0	0
27869	2374.15	16	20	0	1	0	0	0	1	0
18362	195.47	16	0	0	0	0	0	1	0	0
2441	123.46	10	7	0	1	1	0	0	0	1
21405	308.64	14	17	0	1	0	0	1	0	0
10368	593.54	13	26	0	1	0	1	0	0	0
7124	641.03	12	34	0	1	0	1	0	0	0
13645	356.13	17	4	0	1	0	0	1	0	1
1490	356.13	16	3	0	1	1	0	0	0	1
19722	443.97	9	26	0	0	0	0	1	0	0
11724	474.83	12	14	0	0	0	1	0	0	0
3362	308.64	8	24	1	1	1	0	0	0	0
3848	353.75	8	24	0	1	1	0	0	0	0
14835	676.07	7	43	0	1	0	0	1	0	0
15059	438.4	14	10	0	1	0	0	1	0	0
19104	902.18	14	23	0	1	0	0	1	0	0
23928	498.58	12	26	0	1	0	0	0	1	0
13553	1044.63	12	15	0	0	0	0	1	0	0
23369	299.15	16	11	0	1	0	0	0	1	0
5962	712.25	18	5	0	1	1	0	0	0	0
22821	165.43	12	5	0	0	0	0	0	1	0
4793	108.02	9	3	1	1	1	0	0	0	1
22879	176.92	13	18	0	0	0	0	0	1	0
13471	949.67	16	25	0	1	0	0	1	0	0
1118	1661.92	18	18	0	1	1	0	0	0	0
13270	667.14	17	11	0	0	0	1	0	0	0
6505	1068.38	17	18	0	1	0	1	0	0	0
20883	1329.53	18	13	0	1	0	0	1	0	0
21889	152.09	12	11	0	0	0	0	1	0	0
10694	783.48	18	10	0	0	0	1	0	0	0
14490	885.38	18	28	0	1	0	0	1	0	0
25995	847.25	9	27	0	1	0	0	0	1	0
2407	617.28	10	44	0	1	1	0	0	0	0
275	308.95	13	33	0	1	1	0	0	0	0
24439	159.1	0	27	0	0	0	0	0	1	0
14288	1377.02	18	32	0	1	0	0	1	0	0
10976	878.44	12	42	0	1	0	1	0	0	0
3935	246.91	13	37	0	1	1	0	0	0	1
5869	1068.38	16	20	0	1	1	0	0	0	0
14380	257	17	-1	0	1	0	0	1	0	1
8474	997.15	12	20	0	1	0	1	0	0	0
1135	346.63	15	10	0	1	1	0	0	0	0
10753	699.26	12	37	0	0	0	1	0	0	0
27788	973.41	15	14	0	0	0	0	0	1	0
3778	274.35	12	0	0	1	1	0	0	0	0
10585	1187.08	18	32	0	1	0	1	0	0	0
26303	189.93	0	54	0	1	0	0	0	1	0
14613	222.22	10	13	1	0	0	0	1	0	0
13264	452.97	12	10	0	1	0	1	0	0	0
10109	878.44	12	21	1	1	0	1	0	0	0
10767	712.25	18	4	0	0	0	1	0	0	0
15017	625.66	16	14	1	1	0	0	1	0	0
8343	593.54	14	22	1	1	0	1	0	0	0
20684	557.93	14	6	0	1	0	0	1	0	0
12750	341.17	12	9	0	0	0	1	0	0	0
26135	854.7	12	25	0	1	0	0	0	1	0
1883	712.25	15	39	0	1	1	0	0	0	0
28116	272.11	10	19	0	1	0	0	0	1	0
21342	783.48	12	40	1	1	0	0	1	0	0
16363	418.8	18	26	0	0	0	0	1	0	0
22543	370.37	13	23	0	1	0	0	0	1	0
19378	308.64	12	24	1	0	0	0	1	0	0
17761	664.77	12	13	0	1	0	0	1	0	0
21769	237.42	11	18	1	0	0	0	1	0	0
7960	245.27	12	45	0	1	0	1	0	0	1
15030	347.22	14	35	0	1	0	0	1	0	0
11516	586.42	12	12	0	1	0	1	0	0	0
10255	195.47	12	12	0	1	0	1	0	0	0
6768	973.41	12	34	0	1	0	1	0	0	0
1878	197.53	13	16	1	1	1	0	0	0	0
4619	493.83	14	3	0	1	1	0	0	0	0
4689	593.54	16	3	0	1	1	0	0	0	0
24983	944.28	12	20	0	1	0	0	0	1	0
10646	902.18	16	18	0	0	0	1	0	0	0
2437	474.83	12	10	0	1	1	0	0	0	0
5139	237.42	12	16	0	1	1	0	0	0	0
4211	481.96	18	24	0	1	1	0	0	0	0
1833	688.51	16	9	0	1	1	0	0	0	0
27609	123.46	12	8	0	1	0	0	0	1	0
10755	403.61	12	4	0	1	0	1	0	0	0
24501	474.83	9	14	0	1	0	0	0	1	0
19486	474.83	12	37	0	0	0	0	1	0	0
26088	2314.81	18	29	0	1	0	0	0	1	0
24909	586.42	12	11	0	1	0	0	0	1	0
27652	427.35	13	29	0	1	0	0	0	1	0
13088	238.68	16	-1	0	1	0	1	0	0	0
5364	949.67	17	12	0	1	1	0	0	0	0
25797	1661.92	18	39	0	1	0	0	0	1	0
19686	284.9	12	14	0	0	0	0	1	0	0
17074	688.51	15	15	0	1	0	0	1	0	0
1931	284.9	12	8	0	1	1	0	0	0	0
6800	522.32	14	17	0	1	0	1	0	0	0
7809	370.37	2	41	0	1	0	1	0	0	0
1903	231.48	12	46	0	1	1	0	0	0	0
11266	469.14	12	36	0	1	0	1	0	0	0
21287	379.87	12	43	0	1	0	0	1	0	0
2865	1579.1	18	23	0	1	1	0	0	0	0
16485	593.54	12	15	0	0	0	0	1	0	0
4632	2374.15	18	8	0	1	1	0	0	0	0
8466	783.48	8	44	0	1	0	1	0	0	0
24076	962.96	12	31	0	0	0	0	0	1	0
3682	246.91	10	11	0	1	1	0	0	0	0
20652	522.32	12	28	1	1	0	0	1	0	0
21289	300.59	18	7	0	1	0	0	1	0	0
19005	356.13	11	33	0	1	0	0	1	0	0
12246	770.09	16	28	0	1	0	1	0	0	0
5803	241.66	12	15	0	1	1	0	0	0	0
17891	1187.08	18	9	0	1	0	0	1	0	0
6642	867.59	13	19	0	1	0	1	0	0	0
5727	277.62	18	33	0	1	1	0	0	0	1
1010	274.69	17	7	0	1	1	0	0	0	0
1668	949.67	16	24	0	1	1	0	0	0	0
13253	65.1	18	30	0	1	0	1	0	0	1
7186	451.09	12	13	0	1	0	1	0	0	0
4851	427.99	12	9	0	1	1	0	0	0	0
4997	771.6	16	45	0	1	1	0	0	0	1
2736	830.96	15	11	0	1	1	0	0	0	0
17852	461.35	12	12	0	1	0	0	1	0	0
7410	664.77	12	21	0	0	0	1	0	0	0
9981	211.59	11	9	0	0	0	1	0	0	0
14260	617.28	17	3	0	1	0	0	1	0	0
27790	1529.79	14	46	0	0	0	0	0	1	0
18845	973.41	12	31	0	1	0	0	1	0	0
20729	546.06	16	35	0	1	0	0	1	0	0
10230	2018.04	16	35	0	1	0	1	0	0	0
23398	332.38	14	12	0	1	0	0	0	1	0
9504	1115.86	12	6	0	1	0	1	0	0	0
6345	54.61	13	0	0	0	1	0	0	0	1
8915	712.25	18	17	0	1	0	1	0	0	0
26785	1163.34	14	30	0	1	0	0	0	1	0
865	462.96	12	30	0	1	1	0	0	0	0
21435	106.08	14	0	0	0	0	0	1	0	1
1465	118.71	16	6	0	1	1	0	0	0	0
9075	593.4	12	23	0	1	0	1	0	0	0
4648	474.83	12	0	0	1	1	0	0	0	0
10175	206.87	12	10	0	0	0	1	0	0	0
15238	548.88	14	32	0	1	0	0	1	0	0
19938	202.78	12	1	0	1	0	0	1	0	0
23754	1329.53	18	9	0	1	0	0	0	1	0
11240	284.9	12	3	0	0	0	1	0	0	0
4756	561.17	12	3	0	1	1	0	0	0	0
12401	174.9	14	0	0	0	0	1	0	0	1
3703	427.35	15	3	1	1	1	0	0	0	0
4826	1210.83	18	13	0	1	1	0	0	0	0
17551	712.25	16	18	0	1	0	0	1	0	0
15572	308.64	9	45	0	0	0	0	1	0	0
24355	165.43	12	0	0	0	0	0	0	1	0
11808	593.54	18	1	0	0	0	1	0	0	0
5075	370.37	16	26	1	1	1	0	0	0	0
2344	98.77	8	40	0	1	1	0	0	0	0
5850	824.28	15	11	0	1	1	0	0	0	0
1807	949.67	12	38	0	0	1	0	0	0	0
23667	451.09	11	23	0	0	0	0	0	1	0
11334	712.25	18	3	0	1	0	1	0	0	0
4830	807.22	16	41	0	1	1	0	0	0	0
5381	130.1	14	20	0	1	1	0	0	0	1
724	379.87	12	9	0	0	1	0	0	0	0
9230	1377.02	16	37	0	1	0	1	0	0	0
16360	284.9	14	2	0	0	0	0	1	0	0
11586	522.32	12	14	0	1	0	1	0	0	0
16691	462.96	12	1	0	1	0	0	1	0	0
4567	949.67	11	45	0	1	1	0	0	0	0
20185	199.43	16	47	0	1	0	0	1	0	1
20763	832.72	18	25	0	1	0	0	1	0	0
25304	1746.03	12	14	0	1	0	0	0	1	1
21535	949.67	16	15	0	1	0	0	1	0	0
26673	641.03	13	12	0	1	0	0	0	1	0
4215	320.51	12	39	0	1	1	0	0	0	0
19648	254.18	9	15	0	0	0	0	1	0	0
57	1851.85	17	14	0	1	1	0	0	0	0
4859	712.25	18	44	0	1	1	0	0	0	0
20919	712.25	11	36	0	1	0	0	1	0	0
3881	474.83	18	0	0	0	1	0	0	0	0
25556	759.73	12	23	0	1	0	0	0	1	0
15184	949.67	9	40	0	1	0	0	1	0	0
6386	266.17	12	4	0	0	1	0	0	0	0
21195	270.06	16	2	0	1	0	0	1	0	0
23319	154.32	11	10	0	1	0	0	0	1	0
9787	591.14	14	11	0	1	0	1	0	0	0
2351	759.73	12	42	0	0	1	0	0	0	0
18638	687.56	15	46	0	1	0	0	1	0	0
15652	451.09	15	4	0	0	0	0	1	0	0
22147	221.5	12	6	0	0	0	0	0	1	0
27057	807.22	16	3	0	1	0	0	0	1	0
8986	522.32	16	15	0	1	0	1	0	0	0
19971	1115.86	15	18	1	1	0	0	1	0	0
20607	593.54	13	24	0	1	0	0	1	0	0
1316	61.73	12	47	0	1	1	0	0	0	1
23267	1424.5	16	7	0	1	0	0	0	1	0
10663	379.87	13	5	0	1	0	1	0	0	0
16218	697.8	12	33	0	1	0	0	1	0	0
20229	2374.15	12	23	0	1	0	0	1	0	0
2980	617.28	9	33	0	1	1	0	0	0	0
16540	712.25	14	10	0	1	0	0	1	0	0
25709	712.25	12	21	1	1	0	0	0	1	0
25315	226.27	16	37	0	1	0	0	0	1	1
16351	244.44	12	2	0	0	0	0	1	0	0
17754	645.77	14	39	1	1	0	0	1	0	1
10618	284.9	12	7	0	0	0	1	0	0	0
14996	379.87	12	6	0	1	0	0	1	0	0
1856	474.83	16	34	0	1	1	0	0	0	0
12158	498.58	12	15	0	1	0	1	0	0	0
5524	474.83	12	26	0	1	1	0	0	0	0
19303	712.25	16	9	1	0	0	0	1	0	0
11000	664.77	12	36	0	1	0	1	0	0	0
22737	569.8	12	33	0	0	0	0	0	1	0
13526	99.72	12	47	0	0	0	0	1	0	1
4718	586.42	9	21	0	1	1	0	0	0	0
13954	712.25	12	38	0	0	0	0	1	0	0
26899	474.83	12	7	0	1	0	0	0	1	0
295	363.25	12	5	0	1	1	0	0	0	0
22151	593.54	12	18	0	1	0	0	0	1	0
17934	1346.15	18	34	0	1	0	0	1	0	0
11405	712.25	13	17	0	0	0	1	0	0	0
24074	142.45	16	-1	0	0	0	0	0	1	1
23501	415.48	12	11	0	1	0	0	0	1	0
21604	400.26	0	52	0	1	0	0	1	0	0
1932	522.32	16	5	0	1	1	0	0	0	0
13103	284.9	12	2	0	1	0	1	0	0	0
13468	569.8	16	4	0	1	0	0	1	0	0
11173	569.8	13	17	0	1	0	1	0	0	0
11745	165.43	12	9	0	1	0	1	0	0	0
20410	246.91	16	0	0	0	0	0	1	0	1
17719	166.19	12	17	0	1	0	0	1	0	0
20789	514.4	10	13	0	1	0	0	1	0	0
26470	391.74	14	33	0	1	0	0	0	1	0
7578	965.5	10	29	0	0	0	1	0	0	0
22050	688.51	18	-1	0	1	0	0	1	0	0
9180	167.76	12	5	0	1	0	1	0	0	0
23641	246.91	6	37	0	1	0	0	0	1	0
27256	471.88	16	10	1	1	0	0	0	1	0
542	474.83	12	14	0	0	1	0	0	0	0
19888	665.95	7	28	0	0	0	0	1	0	0
7454	356.13	11	32	0	0	0	1	0	0	0
2370	902.18	9	40	0	1	1	0	0	0	0
1106	356.13	12	5	0	1	1	0	0	0	0
10556	396.49	12	14	0	1	0	1	0	0	0
23305	237.04	13	42	0	0	0	0	0	1	0
6231	513.46	12	12	0	0	1	0	0	0	0
5385	81.93	14	-1	0	1	1	0	0	0	1
8182	1020.89	14	16	0	1	0	1	0	0	0
22435	409.77	14	4	0	0	0	0	0	1	0
24403	617.28	14	28	0	0	0	0	0	1	0
312	546.06	14	3	0	0	1	0	0	0	0
22418	404.28	12	8	0	0	0	0	0	1	0
3807	516.55	12	9	0	0	1	0	0	0	0
16684	830.96	16	25	0	1	0	0	1	0	0
26284	403.61	13	5	0	1	0	0	0	1	0
18720	456.25	14	22	1	1	0	0	1	0	0
25091	617.28	8	45	0	1	0	0	0	1	0
16095	284.9	16	29	0	0	0	0	1	0	0
26540	189.93	4	25	0	1	0	0	0	1	0
17565	664.77	14	23	0	1	0	0	1	0	0
17937	200	16	-1	0	1	0	0	1	0	0
19850	355.13	12	25	0	0	0	0	1	0	0
21117	617.28	18	22	0	1	0	0	1	0	0
6466	759.73	16	13	0	1	0	1	0	0	0
16949	1234.57	16	18	0	1	0	0	1	0	0
8716	830.96	12	11	0	1	0	1	0	0	0
10061	1305.79	13	22	0	0	0	1	0	0	0
17652	641.98	10	23	0	1	0	0	1	0	0
4063	498.58	12	19	0	1	1	0	0	0	0
13075	233.2	18	5	0	1	0	1	0	0	1
12117	679.01	18	20	0	0	0	1	0	0	0
27633	332.38	14	38	0	1	0	0	0	1	0
1021	878.44	14	27	0	1	1	0	0	0	0
21304	664.77	16	27	1	1	0	0	1	0	0
5552	593.54	12	27	0	1	1	0	0	0	0
24380	629.15	14	9	0	0	0	0	0	1	0
15834	237.42	12	11	0	0	0	0	1	0	1
6640	1163.34	13	13	0	1	0	1	0	0	0
4327	106.84	12	1	1	1	1	0	0	0	0
2037	403.61	12	35	0	1	1	0	0	0	0
14397	664.77	16	8	0	1	0	0	1	0	0
13071	617.28	12	17	0	1	0	1	0	0	0
27832	554.04	12	35	0	1	0	0	0	1	0
10804	593.54	8	38	0	1	0	1	0	0	0
229	403.61	13	12	0	1	1	0	0	0	0
10274	1234.57	13	14	0	1	0	1	0	0	0
1124	1092.12	16	18	0	1	1	0	0	0	0
27835	2374.15	18	33	0	1	0	0	0	1	0
8284	593.54	12	10	1	1	0	1	0	0	0
27926	512.46	12	14	0	0	0	0	0	1	0
20505	411.52	16	7	0	1	0	0	1	0	0
524	584.05	12	14	0	1	1	0	0	0	0
24790	403.61	18	17	0	1	0	0	0	1	0
13033	237.42	14	48	0	1	0	1	0	0	0
8600	949.67	13	15	0	1	0	1	0	0	0
15772	177.78	11	3	0	0	0	0	1	0	0
24960	284.9	12	24	0	0	0	0	0	1	0
25261	204.18	11	9	0	0	0	0	0	1	1
25252	809.59	16	15	0	0	0	0	0	1	0
10148	394.11	9	42	0	1	0	1	0	0	0
14019	569.8	10	22	1	1	0	0	1	0	0
9990	403.61	13	8	0	1	0	1	0	0	0
19718	216.76	12	4	0	0	0	0	1	0	0
22340	287.16	16	9	0	1	0	0	0	1	1
20767	676.64	12	11	0	1	0	0	1	0	0
21187	1187.08	17	25	0	1	0	0	1	0	0
23430	265.91	7	19	0	1	0	0	0	1	0
2520	902.18	12	38	0	1	1	0	0	0	0
2571	641.03	10	48	1	1	1	0	0	0	0
341	830.96	17	9	0	1	1	0	0	0	0
7036	617.28	12	26	0	1	0	1	0	0	0
16861	830.96	10	39	0	1	0	0	1	0	0
4039	997.15	14	20	0	0	1	0	0	0	0
27138	96.19	12	0	0	1	0	0	0	1	0
9225	491.45	14	6	0	1	0	1	0	0	0
10484	234.31	14	6	0	1	0	1	0	0	1
18832	249.29	12	10	1	1	0	0	1	0	0
22605	1056.51	12	40	0	1	0	0	0	1	0
22413	735.99	16	10	0	0	0	0	0	1	0
16647	830.96	14	7	0	1	0	0	1	0	0
8744	77.78	8	52	0	0	0	1	0	0	1
27992	1410.93	12	24	0	1	0	0	0	1	0
23204	1543.21	16	8	0	1	0	0	0	1	0
13579	676.64	16	14	0	0	0	0	1	0	0
4463	498.58	16	42	0	1	1	0	0	0	0
233	484.14	12	21	0	1	1	0	0	0	0
23128	1329.53	17	21	0	1	0	0	0	1	0
3604	957.38	12	13	0	1	1	0	0	0	0
6491	379.87	18	11	0	1	0	1	0	0	0
22362	282.92	12	10	0	0	0	0	0	1	0
16902	261.16	12	6	0	1	0	0	1	0	0
21341	903.37	18	13	0	1	0	0	1	0	0
17129	308.64	0	47	1	1	0	0	1	0	0
16537	949.67	12	14	0	0	0	0	1	0	0
14200	474.83	18	10	0	1	0	0	1	0	0
11255	807.22	14	17	0	0	0	1	0	0	0
16315	142.45	6	24	0	1	0	0	1	0	0
9050	364.2	12	11	0	0	0	1	0	0	0
4904	94.97	8	47	0	1	1	0	0	0	1
6732	474.83	13	7	0	1	0	1	0	0	0
10476	130.58	13	0	1	1	0	1	0	0	0
11839	237.42	12	29	0	0	0	1	0	0	0
4228	83.1	8	55	1	1	1	0	0	0	1
21463	154.32	6	43	0	1	0	0	1	0	1
1004	1780.63	18	23	0	1	1	0	0	0	0
7914	473.87	12	31	0	0	0	1	0	0	0
13803	52.23	14	0	1	1	0	0	1	0	1
14620	1239.17	14	39	0	1	0	0	1	0	0
899	446.13	12	43	0	1	1	0	0	0	0
1790	1175.78	18	28	0	1	1	0	0	0	0
866	919.36	9	33	0	1	1	0	0	0	0
8902	66.14	12	0	0	1	0	1	0	0	1
6779	1187.08	16	23	0	1	0	1	0	0	0
17602	569.8	17	19	0	1	0	0	1	0	0
25939	484.33	14	15	0	1	0	0	0	1	0
12732	246.91	12	10	0	1	0	1	0	0	0
13466	783.48	16	15	0	1	0	0	1	0	0
13183	427.35	13	19	0	0	0	1	0	0	0
6124	569.8	12	22	0	1	1	0	0	0	0
14452	724.12	17	10	0	1	0	0	1	0	0
9202	522.32	12	16	0	0	0	1	0	0	0
758	59.35	17	13	0	1	1	0	0	0	0
6278	461.4	9	31	0	0	1	0	0	0	0
8106	1092.12	12	25	1	1	0	1	0	0	0
25905	284.9	9	15	0	1	0	0	0	1	0
20510	356.13	16	2	0	1	0	0	1	0	0
20622	830.96	14	9	1	1	0	0	1	0	0
22084	712.25	17	4	0	0	0	0	0	1	0
88	474.83	16	18	0	0	1	0	0	0	0
19487	308.64	12	3	0	0	0	0	1	0	0
16529	308.64	12	9	1	0	0	0	1	0	0
5565	569.8	12	8	0	1	1	0	0	0	0
648	569.8	9	43	0	0	1	0	0	0	0
7533	1899.34	16	7	0	0	0	1	0	0	0
22736	1566.95	18	24	0	0	0	0	0	1	0
16265	67.34	13	37	0	1	0	0	1	0	0
5507	498.48	12	26	1	1	1	0	0	0	0
24903	296.3	18	10	0	1	0	0	0	1	1
8258	92.59	12	8	1	1	0	1	0	0	0
5066	284.9	12	3	0	1	1	0	0	0	0
16029	300.66	10	3	0	0	0	0	1	0	0
22886	448.72	12	7	0	0	0	0	0	1	0
7677	754.75	12	21	0	1	0	1	0	0	0
3875	1020.89	14	23	0	0	1	0	0	0	0
22577	830.96	12	15	0	1	0	0	0	1	0
21997	129.07	12	27	0	0	0	0	1	0	1
14947	451.09	12	20	0	1	0	0	1	0	0
13054	498.58	12	19	0	1	0	1	0	0	0
16915	143.87	12	0	0	1	0	0	1	0	1
27197	1424.5	16	26	0	1	0	0	0	1	0
8754	593.54	12	5	0	1	0	1	0	0	0
16634	641.03	12	14	0	1	0	0	1	0	0
2780	5144.03	0	18	0	1	1	0	0	0	0
7083	1068.38	12	7	0	1	0	1	0	0	0
13673	830.96	11	39	0	1	0	0	1	0	0
27731	232	14	1	0	0	0	0	0	1	0
23922	697.7	12	12	0	1	0	0	0	1	0
6214	252.53	12	27	0	1	1	0	0	0	0
13359	277.78	8	28	0	1	0	0	1	0	1
1258	546.06	12	12	0	1	1	0	0	0	0
17159	740.74	8	38	0	1	0	0	1	0	0
4885	795.35	8	44	0	1	1	0	0	0	0
15749	401.23	11	26	1	0	0	0	1	0	0
27771	602.23	15	7	0	1	0	0	0	1	0
17241	543.21	12	11	1	1	0	0	1	0	0
15174	522.32	16	16	0	1	0	0	1	0	0
10442	681.43	12	28	0	1	0	1	0	0	0
24149	749.03	16	29	0	1	0	0	0	1	0
1775	830.96	14	10	0	1	1	0	0	0	0
23691	424.79	12	22	0	0	0	0	0	1	0
9882	613.3	12	12	0	1	0	1	0	0	0
13493	427.35	11	32	0	1	0	0	1	0	0
16956	421.56	12	9	0	1	0	0	1	0	0
14101	759.73	16	11	1	1	0	0	1	0	0
27240	79.37	11	1	0	1	0	0	0	1	1
13121	198.05	12	4	0	1	0	1	0	0	0
13871	569.8	12	18	1	1	0	0	1	0	0
20582	458.55	14	11	0	1	0	0	1	0	1
21093	449.64	12	41	0	1	0	0	1	0	0
14791	472.59	12	25	0	0	0	0	1	0	0
13182	629.15	12	10	0	0	0	1	0	0	0
22757	641.03	12	8	0	0	0	0	0	1	0
26352	181.62	11	3	0	1	0	0	0	1	0
5913	759.73	12	19	0	1	1	0	0	0	0
7856	874.49	12	19	0	0	0	1	0	0	0
14412	617.28	12	10	0	1	0	0	1	0	0
13816	508.07	18	3	0	1	0	0	1	0	0
13686	395.06	0	42	0	1	0	0	1	0	0
23115	228.3	16	10	0	1	0	0	0	1	0
9297	536.77	10	14	0	1	0	1	0	0	0
14603	474.83	15	5	0	1	0	0	1	0	0
427	830.96	12	7	0	1	1	0	0	0	0
4123	403.61	12	11	0	1	1	0	0	0	0
19403	902.18	12	42	0	1	0	0	1	0	0
26635	1334.67	18	29	0	1	0	0	0	1	0
18884	498.58	12	7	0	1	0	0	1	0	0
27415	498.58	8	47	0	1	0	0	0	1	0
17634	427.35	14	28	0	1	0	0	1	0	0
19719	94.97	10	53	0	0	0	0	1	0	1
11437	1266.22	12	42	0	1	0	1	0	0	0
9233	1004.53	14	25	0	1	0	1	0	0	0
9853	627.36	11	21	0	1	0	1	0	0	0
17223	384.62	12	34	0	1	0	0	1	0	0
23085	238.37	12	12	0	1	0	0	0	1	0
18763	427.35	14	39	0	0	0	0	1	0	0
9845	688.51	16	9	0	1	0	1	0	0	0
18769	296.77	12	17	0	0	0	0	1	0	0
16259	498.58	8	29	0	1	0	0	1	0	0
5857	474.83	16	9	0	1	1	0	0	0	0
11704	427.35	12	9	0	1	0	1	0	0	0
6810	617.28	18	15	0	1	0	1	0	0	0
10487	403.61	12	8	0	1	0	1	0	0	0
8246	59.35	15	1	0	1	0	1	0	0	1
17459	1234.57	16	24	0	1	0	0	1	0	0
17524	676.64	14	24	0	1	0	0	1	0	0
21497	937.32	17	21	0	0	0	0	1	0	0
305	338.32	13	9	0	0	1	0	0	0	0
4867	2374.15	18	10	0	1	1	0	0	0	0
19022	641.03	12	8	0	0	0	0	1	0	0
18831	377.93	12	9	1	1	0	0	1	0	0
13117	308.64	13	35	0	0	0	1	0	0	0
19344	275.12	10	47	0	0	0	0	1	0	0
2778	393.95	12	47	0	1	1	0	0	0	0
12711	205.76	15	0	0	1	0	1	0	0	0
2789	356.13	12	31	0	1	1	0	0	0	0
10050	472.46	12	16	0	1	0	1	0	0	0
20290	394.33	12	2	0	1	0	0	1	0	0
27440	328.22	12	12	0	1	0	0	0	1	0
848	388.62	18	6	0	1	1	0	0	0	0
27534	427.35	12	5	0	0	0	0	0	1	0
10510	137.17	15	2	0	0	0	1	0	0	1
21029	356.13	13	4	0	1	0	0	1	0	0
