RMRF	SMB	HML	UMD	RF	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10
-1.78	1.56	-2.75	-1.69	0.44	-0.19	-0.73	-0.31	-0.95	-0.34	-0.29	-2.04	-1.65	-2.38	-1.17
-0.27	1.4	-0.49	2.06	0.43	2.09	1.24	0.61	0.53	1.81	0.52	-0.08	1.06	-0.13	-0.17
-4.42	1.27	1.87	-0.06	0.49	-2.25	-2.5	-2.37	-2.57	-2.28	-3	-2.68	-4.16	-3.77	-4.36
4.04	3.68	0.25	2.17	0.5	7.61	8.59	8.57	7.57	6.78	7.01	6.52	6.57	4.33	3.18
0.33	1.43	-0.33	1.6	0.49	2.67	2.87	2	1.68	1.63	0.91	1.4	0.14	0.57	0.53
-6.01	2.27	3.28	-0.68	0.49	-0.2	-1.98	-2.81	-3.81	-4.19	-4.44	-5.38	-5.52	-5.37	-6.27
-1.39	3.6	0.78	1.97	0.46	3.72	2.83	1.15	1.55	1.74	0.33	0.58	-1.54	-1.92	-1.62
2.87	3.38	1.11	1.4	0.53	7.5	6.99	6.73	6.06	5.42	5.39	4.98	4.71	4.49	1.8
7.74	0.3	-3.52	0.9	0.54	8.32	8.06	7.98	7.55	7.53	7.62	7.08	7.02	7.61	9.16
1.81	4.59	-0.6	2.87	0.51	8.1	5.58	6.03	4.87	5.38	4.55	3.94	3.03	2.88	0.65
-1.62	1.7	0.55	2.76	0.54	0.79	0.71	-0.05	0.36	0.29	0.08	0.13	-0.72	-1.24	-1.88
5.11	0.28	-1.21	4.17	0.56	4.8	5.95	5.96	6.94	5.3	4.8	6.16	6.84	5.18	5.6
3.69	4.97	-0.46	2.85	0.55	10.3	6.97	8.14	8.34	6.9	7.32	5.19	5.04	3.59	3.01
-1.31	-0.4	1.91	-3.14	0.62	0.38	-1.26	-1.47	-1.2	-1.04	-1.57	-1.67	-1.03	-0.71	-0.55
-11.78	-9.94	1.51	-8.39	0.68	-20.7	-20.79	-19.92	-18.69	-17.99	-16.26	-14.47	-13.11	-11.79	-7.62
2.68	3.04	-2.23	5.37	0.7	4.53	5.96	6.59	5.8	5.88	3.9	3.13	3.02	3.18	2.97
0.99	1.2	-2.08	3.09	0.78	2.01	1.64	2.01	2.91	2.44	1.78	1.21	1.22	0.48	1.92
4.18	3.48	2.19	-1.4	0.77	9.83	9.12	8.63	7.58	6.71	7.7	5.81	6.38	5.25	3.62
-3.41	0.44	1.19	-1.03	0.73	-1.6	-2.67	-2.09	-3.03	-1.74	-2.97	-2.92	-3.77	-2.67	-2.82
5.75	3.07	-0.6	2.96	0.81	7.9	8.93	9.41	8.94	9.98	9.07	7.41	8.64	7.42	4.92
0.05	2.16	1.12	0.76	0.8	3.21	2.79	1.1	2.99	2.24	1.36	2.34	0.91	-0.15	0.23
-2.18	0.12	1.27	-0.53	0.82	-1.18	-1.61	-1.21	-1.13	-1.47	-1.78	-1.06	-0.66	0.18	-1.88
3.88	1.06	1.44	0.9	0.81	5.26	5.44	6.55	6.37	5.99	4.72	5.74	6.68	5.94	3.6
0.73	1.31	1.77	-1.14	0.77	1.81	3.34	2.52	3.3	2.96	4.07	3.39	1.97	2.76	0.45
5.7	1.97	-1.58	-0.1	0.77	7.25	7.58	7.94	7.65	8.09	6.55	7.46	7.03	6.05	5.83
-0.69	-0.28	-0.88	5.46	0.83	-0.61	-0.3	-0.97	0.03	0.44	-1.31	0.37	-1.1	0.11	0.47
-8.14	-3.29	-1.88	2.09	0.87	-10.21	-11.09	-11.21	-10.03	-9.33	-9.06	-8.72	-8.57	-7.96	-5.71
5.37	2.75	-3.22	8.01	0.99	6.98	8.07	8.65	7.98	9.25	7.38	8.39	7.23	6.75	5.09
1.87	4.08	-2.01	4.82	0.95	8.39	6.52	6.28	6.38	5.16	3.77	4.33	3.11	3.79	1.15
5.76	1.63	1.77	7.54	0.8	11.29	8.15	7.42	6.51	6.88	6.36	6.15	6.19	6.02	5.91
-0.79	-1.86	0.65	8.17	0.89	-0.6	-1.58	-1.09	-2.51	-2.38	-3.12	-2.47	-2.27	-2.99	1.81
-13.23	-6.55	-1	-9.73	1.21	-18.88	-17.97	-17.52	-16.79	-17.35	-14.68	-14.11	-12.94	-10.08	-9.66
3.97	0.92	1.18	-0.32	1.26	5.22	7.31	6.3	5.73	6.5	7.86	5.86	6.9	4.91	4.48
5.2	2.07	0.33	-1.11	0.81	6.57	7.34	8.09	9.14	8.05	7.55	9.24	7.69	5.96	4.9
3.16	1.69	-0.87	1.59	0.61	4.42	4.67	4.17	5.39	5.35	4.21	4.9	4.96	3.74	2.77
6.41	4.33	-6.23	0.32	0.53	9.31	10.66	10.38	10.96	9.18	9.22	9.21	6.75	8.17	5.55
1.72	3.92	-2.57	3.12	0.64	8.13	7.24	6.24	5.59	3.97	4.54	3.69	1.34	2.5	1.1
2.2	0.93	-4.63	5.36	0.75	4.44	3.88	3.41	2.71	3.28	3.11	3.26	2.91	3.55	2.51
1.06	2.51	-2.73	7.17	0.95	6.13	3.87	3.55	3.17	3.19	1.57	0.88	0.87	1.51	1.82
9.53	-3.33	-8.45	15.1	0.96	7.57	7.56	8.09	8.39	5.68	7.76	10.22	6.76	9.12	12.69
-4.75	-0.34	2.71	-6.67	1.31	-4.36	-4.75	-3.44	-2.16	-2.15	-2.85	-2.64	-1.8	-2.05	-3.57
-5.05	2.92	6.78	-7.93	1.04	0.03	-1.07	-0.84	-1.45	-0.99	-1.98	-3	-2.64	-3.73	-5.36
0.48	-0.35	1.01	-1.36	1.07	-0.37	-0.31	0.81	2.38	1.77	2.21	1.44	2.9	1.35	1.86
3.41	3.49	0.64	0.77	1.21	7.06	8	7.76	7.64	6.98	8.58	8.5	7.85	7.31	1.65
-2.21	4.4	2.3	-0.92	1.08	3.58	4.24	2.52	3.75	2.36	1.94	0.48	-0.33	-0.56	-2.75
0.21	2.02	-0.4	3.68	1.15	3.37	3.48	3.42	3.32	2.73	2.96	2.84	1.73	1.68	0.09
-2.37	-0.88	5.14	-5.93	1.35	-1.45	-1.35	-2.1	-2.75	-1.01	-2.25	-2.28	-0.71	-1.95	0.29
-1.55	-2.18	-0.59	-2.4	1.24	-2.48	-3.26	-2	-2.19	-1.45	-2.1	-1.6	-0.59	-1.05	0.85
-6.91	-1.91	4.75	-1.13	1.28	-8.39	-8.19	-7.67	-7.11	-5.95	-6.84	-5.71	-4.91	-5.82	-5.2
-7.62	-2.67	5.19	2.24	1.24	-10.08	-8.52	-8.2	-6.62	-7.37	-5.61	-6.38	-7.07	-5.82	-5.31
4.81	2.16	-4.07	4.13	1.21	7.3	8.4	8.21	8.18	7.29	7.09	6.4	6.34	7.18	5.08
3.51	-1.04	1.87	-0.37	1.07	1.17	3.21	3.8	4.09	3.49	2.22	4.74	4.76	3.97	5.18
-3.68	1.22	0.77	1.38	0.87	-2.06	-1.44	-1.48	-1.95	-1.62	-2.33	-2.1	-2.85	-2.44	-3.33
-3.42	-1.21	3.14	1.71	0.8	-1.21	-2.62	-2.77	-4.1	-4.48	-3.28	-4.65	-3.31	-3.02	-1.58
-6.03	0.55	6.07	4.92	0.92	-4.28	-4.45	-4.54	-4.06	-4.76	-3.4	-4.36	-3.34	-4.54	-5.68
-1.99	-0.19	3.85	2.98	0.98	-1.13	-1.27	-0.71	-0.89	-0.18	-0.36	-0.75	-1.09	-1.14	-0.75
3.2	1.48	-2.78	-0.44	1.13	4.73	5.86	5.28	6.07	5.52	5.31	4.44	5.36	5.18	3.66
-3.88	0.46	1.89	2.39	1.06	-1.79	-1.6	-2.68	-3.59	-2.38	-2.58	-3.95	-3.99	-4.37	-1.98
-3.35	-0.31	1.44	5.15	0.96	-2.68	-3.13	-2.67	-1.76	-2.76	-1.96	-2.35	-1.82	-2.66	-1.85
-3.1	0.9	0.22	4.36	1.05	-1.73	-2.06	-2.02	-0.09	-1.48	-2	-2.1	-3.42	-3.62	-1.7
11.14	-4.15	1.17	-3.59	0.76	4.41	6.95	7.53	8.51	11.12	11.18	11.66	13.04	12.26	12.68
1.17	2.88	0.38	4.25	0.51	3.22	4.19	3.98	4.11	4.61	3.32	2.49	3.34	1.53	0.78
11.27	2.38	-3.59	0.06	0.59	12.88	15.25	14.47	13.39	13.77	14.05	15.37	13.17	11.65	10.45
4.56	4.77	-1.87	6.02	0.63	11.7	8.08	8.26	9.11	8.79	7.98	7.36	5.54	4.96	3.67
0.78	-0.15	0.09	0.03	0.67	2.01	1.92	0.91	0.43	0.44	0.54	0.87	1.79	1.05	1.36
3.49	2.6	-0.89	-1.66	0.69	11.49	8.14	5.91	6.69	5.02	4.11	3.26	3.6	2.74	3.87
2.4	3.2	0.74	3.83	0.62	5.33	5.34	6.45	5.56	5.52	4.67	4.12	2.68	2.99	2.39
2.84	1.81	1.97	0.9	0.63	5.63	4.54	4.4	3.67	4.98	4.48	3.24	2.88	3.74	3.1
6.71	0.43	0.59	1.77	0.71	7.92	8.45	7.62	8.71	6.81	6.58	6.85	6.31	6.57	7.73
0.63	6.12	-1.48	-1.57	0.69	10.22	8.37	5.88	5.11	3.78	4.35	4.21	3.45	2.21	-1.95
3.11	0.96	-3.95	1.74	0.67	4.57	3.23	4.68	4.49	4.68	3.58	4.22	2.44	3.48	3.78
-3.9	1.51	5.53	-3.17	0.74	-2.45	-1.84	-2.12	-3.82	-2.43	-3.26	-3.69	-3	-3.4	-3.53
-0.41	-4.25	5.56	-5.43	0.76	-4.55	-2.78	-3.5	-2.74	-3.21	-2.18	-1.15	0.56	-0.27	2.09
0.85	0.59	0.96	-0.08	0.76	-0.81	0.5	2.62	2.59	2.51	4.02	3.4	1.58	2.29	1.11
-3.56	-3.59	4.87	-4.5	0.76	-5.91	-6.14	-5.88	-6.53	-5.58	-4.34	-4.14	-3.28	-2.41	-1.06
2.26	2.04	-0.79	-0.18	0.7	2.56	3.87	4.01	6.03	4.44	5.07	4.51	4.6	2.62	1.65
-1.78	-0.28	1.77	0.8	0.73	-2.17	-1.3	-0.8	-1.79	-1.85	-1.48	-1.92	-2.08	-1.71	-0.18
-2.06	-0.38	7.65	-2.47	0.76	0.78	-0.88	-1.4	-1.41	-2.47	-4.28	-3.45	-3.19	-1.23	0.08
-4.62	-1.64	3.47	0.21	0.71	-5.51	-5.74	-5.02	-4.61	-5.36	-5.94	-5.6	-4.66	-5	-2.67
0.61	0.11	0.47	1.01	0.73	0.41	1.06	1.04	0.6	1.61	1.02	2.15	1.65	2.48	0.72
-0.56	-1.13	1.3	2.09	0.81	-2.42	-0.76	-0.34	0.06	-0.05	-0.29	-0.61	-2.26	-0.87	1.74
-6.01	0.06	0.32	1.63	0.78	-5.07	-4.92	-4.65	-5.49	-6.11	-5.2	-5.06	-5.42	-5.18	-4.93
1.59	-0.23	-2.69	-0.68	0.75	0.91	2.96	2.47	3.72	3.5	3.26	3.44	3.29	3.26	2.55
-2.88	-2.3	0.31	2.91	0.82	-5.42	-4.15	-4.73	-3.61	-3.68	-2.87	-3.97	-3.13	-1.48	-0.69
10.44	-0.23	-1.67	-5.67	0.83	7.69	10.53	12.6	11.32	13.1	12.55	11.55	12.74	11.12	10.66
-0.82	0.19	5.24	3.63	0.86	-0.1	-0.46	-0.69	-0.55	0.53	-0.04	-0.1	0.92	0.41	-0.03
-1.01	-1.17	0.53	3.22	1	-2.2	-1.9	-1.06	-0.71	0.17	-1.1	-0.97	1.02	1.04	0.36
-1.8	-0.65	3.91	1.64	0.73	-3.73	-1.66	-2.58	-1.87	-0.29	-0.18	-1.02	-0.67	0.01	-1.12
1.73	-0.55	-0.12	1.53	0.64	0.1	1.86	2.35	1.82	2.87	2.56	2.24	3.03	3.24	2.35
7.92	3.21	-5.29	-6.87	0.65	12.83	12.34	12.81	11.52	10.51	10.39	10.89	8.96	6.83	7.4
1.11	0.79	-0.03	1.83	0.58	4.3	2.63	2.34	2.66	1.54	0.66	1.13	1.99	2.11	1.56
-0.79	-1.08	4.06	1.61	0.62	-1.31	-1.48	-2.15	-1.49	-0.9	-1.42	-0.13	-0.2	1.23	0
-0.94	0.11	3.69	2.99	0.72	-0.89	0.04	-1.3	-0.02	0.11	-0.41	-0.95	-0.14	-0.42	0.04
4.92	-2.3	-0.97	4.04	0.66	2.37	3.38	4.31	4	4.88	4.67	5	6.16	7.31	5.92
1.16	0.56	0.53	3.64	0.55	1.1	2	1.89	3.25	2.77	2.75	1.73	2.22	2.69	1.23
-0.65	2.84	-1.66	-3.93	0.62	2.35	2.81	2.93	2.74	1.66	1.6	0.4	-0.29	-1.73	-0.59
-1.03	-0.35	2.21	1.8	0.55	-0.48	-0.44	-0.69	-0.23	-0.99	-0.81	-0.2	-0.6	-0.29	-0.4
-4.58	-1.63	1.18	1.49	0.6	-6.09	-5.2	-5.66	-5.6	-5.19	-4.33	-5.12	-4.89	-4.35	-2.78
3.79	-1.67	0.74	4.89	0.65	1.24	3.43	4.2	4.23	3.98	3.46	4.67	5.54	6.65	4.35
6.31	0.15	-2.78	-0.48	0.61	4.55	7.14	7.46	7.55	7.65	6.28	7.97	6.62	7.02	7.02
3.66	-0.44	-1.34	-0.09	0.65	3.16	4.51	4.88	3.87	4.49	3.94	3.82	4.16	3.82	5.07
0.42	1.21	0.44	2.98	0.56	4.78	2.59	1.17	1.49	2.28	2.32	1.8	1.88	2.54	-0.13
6.73	-0.53	-0.61	2.7	0.53	5.89	6.96	8.4	7.07	7.91	6.9	7.3	7.99	8.62	7.42
4.8	-0.66	-0.49	2.39	0.6	4.24	5.53	4.37	4.71	4.45	6.4	6.88	4.07	4.63	5.96
-1.31	2.7	-2.83	-0.51	0.52	1.78	1.81	0.63	1.61	1.91	0.56	-1.19	-0.86	-2.55	-1.04
4.59	-1.27	-0.13	2.04	0.49	3.5	4.44	3.19	4.59	4.58	5.47	4.78	5.27	5.7	5.34
0.9	-0.95	1.34	5.14	0.52	1.12	0.69	0.98	1.37	0.46	1.41	0.86	1.63	1.57	1.88
-6.49	-3.45	4.8	1.86	0.52	-8.06	-8.49	-9.53	-8.27	-9.23	-7.33	-6.32	-6.96	-5.19	-4.88
6.16	-4.2	3.57	-5.01	0.46	0.04	1.51	3.13	4.4	4.12	6.62	6.79	7.7	7.11	7.26
-8.35	2.48	2.97	-5.83	0.45	-6.17	-6.73	-6.41	-6.72	-6.54	-6.3	-6.31	-7.32	-8.24	-9.07
4.47	-2.58	-1.53	2.7	0.46	1.43	2.39	3.84	4.12	3.14	3.22	5.33	5.38	6.73	5.34
1.12	-2.01	0.02	-0.33	0.39	-1.29	-0.53	-0.35	-0.52	0.26	-0.08	0.77	0.78	1.29	2.62
-3.13	0.07	0.31	0.33	0.49	-4.09	-3.23	-2.58	-2.69	-2.03	-2.23	-2.85	-3.27	-3.64	-2.28
12.43	-1.87	-2.91	1.97	0.42	10.67	10.85	11.84	11.92	11.35	12.14	13.01	13.61	12.4	13.37
4.36	3.46	-6.01	-2.1	0.43	8.04	8.01	7.2	8.27	6.7	6.79	5.78	5.41	4.79	3.46
1.89	0.44	1.37	1.64	0.47	3.32	1.95	2.39	1.44	1.94	1.09	1.78	1.39	1.1	2.72
-2.14	-1.66	-0.22	0.2	0.44	-1.98	-2.2	-2.08	-3.68	-3.22	-2.02	-1.54	-3.31	-2.33	-0.85
0.13	-0.53	0.08	-0.73	0.38	-0.09	-0.53	-0.2	-1.1	0.62	0.06	0.69	0.49	0.14	0.91
3.89	-2.09	1	-0.22	0.48	1.72	1.06	2.49	2.8	2.82	3.61	3.14	4.02	5.2	5.14
3.96	-0.46	0.78	2.73	0.46	2.09	2.61	2.84	3.36	4	4.63	4.3	5.29	4.89	4.31
3.24	-0.82	-0.85	-0.86	0.47	0.99	2.41	3.75	3.48	4.25	2.15	4.13	3.09	3.25	4.67
-2.53	0.56	0.25	0.7	0.45	-1.16	-2.6	-2.31	-1.87	-2.13	-2.51	-1.16	-1.63	-2.45	-2.26
-23.13	-8.3	4.27	-7.93	0.6	-28.76	-30.01	-28.87	-29.47	-27.7	-26.06	-26.01	-24.03	-22.32	-19.73
-7.58	2.66	3.25	-1.17	0.35	-5.3	-5.41	-4.47	-5.09	-4.36	-3.78	-4.5	-5.71	-6.36	-9.15
6.64	0.11	-4.5	5.79	0.39	1.65	6.06	6.61	8.93	8.3	8.08	9.29	7.94	7.7	6.56
4.2	-0.6	5.26	-7.59	0.29	7.32	5.19	4.69	3.57	3.6	5.01	3.17	4.1	5.86	4.41
4.71	3.33	-1.66	-1.54	0.46	6.04	6.73	7.19	9.39	7.75	7.51	7.69	7.49	4.87	3.75
-2.1	6.12	0.88	0.62	0.44	4.26	4.83	3.47	3.6	2.27	0.94	0.91	0.47	-1.88	-4.21
0.64	0.99	1.53	2.22	0.46	1.12	2.33	1.95	2.84	0.77	0.64	0.34	0.66	0.63	1.06
-0.47	-2.69	2.35	0.51	0.51	-2.35	-1.93	-2.63	-2.38	-1.15	0.13	-0.61	0.3	-0.24	1.24
4.66	1.92	-1.22	-2.91	0.49	5.04	5.54	7.29	7.46	6.55	6.2	6.98	6.32	5.11	4.42
-1.24	-0.19	2.27	0.65	0.51	0.08	-0.36	-0.37	-0.96	-1.36	-2.26	-2.03	-1.6	-1.59	-0.03
-3.39	0.1	2.04	0.31	0.59	-2.23	-2.64	-1.89	-3.12	-2.8	-2.08	-1.76	-1.79	-2.71	-3.14
3.1	-1.28	-0.73	0.27	0.62	1.1	2.31	3.12	2.32	2.81	2.34	3.8	2.8	5.08	4.3
1.15	-2.86	1.64	1.3	0.61	-1.67	-1.47	-0.46	-1.12	0.15	0.03	0.44	0.26	1.57	3.18
-2.21	-1.67	1.24	0.39	0.57	-4.34	-3.49	-3.22	-2.53	-2.12	-2.66	-1.76	-2.41	-2.73	-0.88
1.48	1.94	-1.45	0.43	0.63	2.09	2.71	4.61	3.35	3.68	3.43	2.08	2.24	1.86	1.73
6.06	-2.09	0.45	-0.15	0.55	4.88	4.96	4.95	4.26	4.4	5.9	5.8	5.84	7.07	7.19
-2.25	2.78	0.83	0.93	0.61	0.36	0.53	1.18	1.51	0.48	0.31	-0.28	0.11	-1.41	-2.98
1.48	0.78	0.42	3.53	0.67	1.87	2.55	2.32	1.95	3.7	0.73	1.01	1.61	2.49	2.42
4.15	-0.53	-1.54	1.72	0.67	2.84	2.7	4.38	4.76	5.32	4.85	5.87	4.88	4.79	5.27
3.14	-0.08	-0.83	1.53	0.79	2.91	3.25	3.53	3.73	4.81	4.63	4.01	3.8	4.83	4
-1.2	-0.91	2.06	0.67	0.71	-1.11	-1.61	-1.98	-1.86	-1.13	-0.72	-0.68	0.35	0.5	-0.77
7.01	-4.06	-2.79	5.4	0.7	2.64	3.03	4.72	4.17	4.84	4.76	6.73	7.97	7.88	9.16
1.47	0.53	0.61	-0.17	0.74	1.95	1.69	3.38	3.18	3.02	3.32	3.89	3.06	3.43	1.21
-0.8	0.34	-1.36	3.39	0.65	-0.08	0.53	0.14	0.91	0.24	-0.76	-1.23	-1.69	-0.5	0.4
-3.61	-3.2	-1.1	1.34	0.68	-5.67	-5.72	-5.49	-6.44	-5.5	-4.99	-4.57	-4.65	-4.64	-1.16
1.09	-1.23	-1.14	2.58	0.69	-1.21	0.24	0.94	0.21	1.17	1.67	0.59	2.12	1.12	2.26
1.22	-2.39	0.24	2.79	0.61	-2.11	-0.69	0.74	0.32	-0.57	0.76	1.62	2.2	1.62	2.43
-7.58	-1.23	0.85	-3.28	0.57	-5.53	-7.97	-8.63	-8.6	-9.22	-7.51	-7.2	-8.39	-6.94	-6.72
0.92	0.95	0.49	-0.52	0.57	1.2	2.68	3.95	2.33	2.85	2.83	1.64	2.14	1.94	1.18
1.77	1.42	-2.87	1.67	0.64	2	2.7	4.84	3.22	3.63	1.84	3.68	1.87	1.08	2.63
-3.52	-0.42	-2.49	2.38	0.69	-2.13	-3.49	-2.12	-4.81	-3.17	-3.85	-4.82	-4.3	-4.04	-1.63
8.21	-2.75	-3.8	3.02	0.68	4.01	6.12	8.03	6.59	6.61	8.5	9.18	9.38	9.32	9.44
-1.05	1.39	-2.09	2.37	0.63	1.33	-0.19	-0.49	-0.21	1	-0.32	-0.85	-0.82	-1.65	-0.34
-1.62	-3.06	0.15	5.95	0.68	-4.01	-4.61	-4.13	-4.18	-3.78	-3.75	-1.67	-2.59	-1.91	0.06
-9.85	-3.51	1.61	1.73	0.66	-12.41	-13.82	-13.1	-12.55	-12.48	-11.45	-9.81	-10.14	-9.35	-8.53
-5.98	-3.6	0.68	5.52	0.6	-8.54	-9.38	-8.76	-9.23	-9.52	-7.26	-5.89	-8.03	-6.28	-4.03
-1.93	-5.53	0.17	6.64	0.68	-6.89	-6.31	-5.88	-5.64	-5.71	-3.68	-3.05	-3	-2.28	0.51
6	0.23	-2.97	-5.68	0.57	1.6	4.21	6.72	7.8	9.01	8.83	7.91	9.57	9.69	5.63
2.35	0.78	-1.61	0.13	0.6	-1.15	1.39	3.21	5.39	4.52	4.93	4.46	3.81	4.02	2.4
4.39	3.78	-1.76	-6.58	0.52	7.26	8.25	8.38	7.54	9.11	6.88	6.52	5.94	6.01	4.06
7.1	3.83	-0.57	-4.79	0.48	12.66	12.74	10.42	11.6	10.05	8.72	9.93	7.87	7.95	6.69
2.45	3.94	-1.21	2.79	0.44	9.65	6.41	6.66	5.95	5.24	4.61	3.39	4.28	2.83	2.24
-0.2	0.48	1.51	-2.44	0.53	2.71	-0.18	0.28	0.44	1.1	-0.07	0.05	1.36	1.62	-0.26
3.6	-0.4	-0.56	-0.15	0.47	2.61	3.85	4.74	3.97	4.33	4.29	4.64	5.24	4.91	3.67
-4.82	0.11	1.11	0.45	0.42	-4.02	-4.98	-4.14	-4.34	-3.68	-4.27	-3.9	-5.05	-5.58	-4.21
4.19	-0.95	-1.35	4.39	0.49	2.18	4.2	3.65	4.07	5.02	5.37	4.79	4.52	4.64	4.83
2.22	1.55	-0.87	1.58	0.46	2.09	3.76	3.41	3.93	4.95	3.87	2.21	2.59	2.63	2.61
-1.56	1.63	-1.11	1.73	0.46	0.87	1.6	1.36	-0.15	-0.28	-0.77	-0.61	-0.61	-0.94	-1.63
1.36	0.91	-0.37	3.19	0.42	2.33	5.12	2.61	2.18	2.62	2.28	1.11	2.23	2.44	1.16
-4.12	-0.48	-1.86	1.23	0.39	-1.34	-4.69	-5.49	-4.71	-5.35	-4.03	-3.61	-3.81	-4.67	-3.32
10.3	-2.3	-4.01	8.21	0.38	2.58	6.73	7.31	9.27	10.7	11.2	10.03	11.38	11.64	11.64
-0.46	8.4	4.61	-2.53	0.34	16.6	11.67	7.65	6.93	5.21	4	1.26	1.19	-0.01	-2.77
1.05	0.83	6.39	-0.66	0.28	5.2	3.58	2.33	2.45	2.4	2.97	2.06	2.02	2.22	0.51
-2.71	-0.99	3.61	-0.31	0.34	-1.13	-4.62	-3.68	-3.44	-2.46	-2.21	-2.57	-3.14	-2.3	-1.82
1.02	-6.09	4.25	-2.51	0.32	-5.12	-4.85	-4.39	-3.2	-1.1	-2.12	-0.28	1.64	2.05	3.01
0.36	0.38	1.12	0.1	0.28	0.3	-0.19	0.34	1.21	0.8	0.99	0.68	0.48	0.6	0.63
-2.25	-3.09	3.24	-0.57	0.32	-4.7	-5.31	-3.92	-3.55	-3.2	-2.58	-2.83	-1.52	-1.69	-1.58
3.68	-0.45	-0.58	1.51	0.31	2.46	3.1	4.05	3.35	4.02	4.99	3.63	4.55	4.22	4.07
-2.34	-0.09	-1.08	-0.51	0.26	-3.24	-3.12	-2.61	-2.61	-3.32	-2.23	-2.52	-1.93	-2.54	-1.82
0.98	0.54	-0.21	1.44	0.26	0.74	1.26	3.45	1.98	1.92	3.03	1.13	1.76	2.53	0.89
0.87	2.09	-2.06	2.72	0.23	1.33	3.19	3.47	3.46	3.84	3.3	2.67	3	1.91	0.06
3.79	3.51	-1.6	-0.18	0.23	7.47	10.22	8.32	7.26	7.3	6.94	4.64	4.92	4.5	3.16
1.5	1.64	2.48	4.48	0.28	4.88	3.08	2.91	3.5	3.57	3.75	2.88	2.97	1.16	1.12
1.03	2	5.77	4.75	0.23	7.83	3.61	3.47	2.44	2.47	1.66	1.62	2.53	1.82	0.04
0.32	-3.37	6.53	3.08	0.22	-2.05	-4.46	-2.9	-2.31	-1.3	-1.6	-0.09	0.09	0.76	1.29
2.26	0.3	1.26	3.73	0.25	3.63	2.71	2.96	2.62	3.48	4.65	3.63	3.27	3.12	1.79
-2.78	-0.66	2.63	0.42	0.24	-1.66	-3.36	-2.83	-2.82	-3.12	-2.31	-2.72	-2.9	-2.84	-2.73
2.74	2.03	-3.41	0.25	0.22	3.42	4.6	5.31	3.95	4.62	4.86	3.15	3.88	2.38	2.63
0.29	-0.32	2.58	4.51	0.25	1.52	-0.23	0.23	0.8	1.95	-0.28	1.33	1.3	0.35	0.28
-0.32	0.99	3.23	3.14	0.24	1.42	1.26	1.23	0.97	1.42	-0.12	0.47	0.06	0.66	-0.69
3.7	0.26	-0.39	2.55	0.25	3.71	4.22	4.58	5.05	3.83	4.46	4.3	5.65	3.96	3.47
-0.2	3.17	-0.46	3.45	0.26	3.74	2.65	2.55	3.66	2.35	1.49	0.69	0.18	-0.18	-0.6
1.59	1.41	-1.63	-2.65	0.22	5.05	4.24	3.92	1.29	2.2	0.13	0.52	1.15	0.63	1.91
-2.01	-1.44	-0.3	-4.77	0.25	-2.93	-3.18	-3.14	-3.73	-2.74	-2.39	-3.64	-2.41	-1.29	-0.85
1.72	1.23	0.57	2.28	0.23	0.13	1.49	2.83	3.7	4.72	4.04	4.2	3.62	2.41	0.66
2.9	0.09	2.09	-0.01	0.25	5.53	3.7	3.2	2.13	1.94	2.74	2.98	2.79	2.86	3.17
-2.63	2.68	-1.38	-0.25	0.21	-0.91	-0.95	-0.49	-0.95	0.75	-0.41	-1.26	-1.86	-2.1	-3.28
-4.85	-0.95	1.34	-1.31	0.27	-4.48	-5.12	-6.7	-5.53	-4.57	-5.34	-4.33	-4.78	-3.61	-4.27
0.68	-0.87	1.65	0.37	0.27	-1.44	-0.69	-0.08	0.76	0.12	0.32	1	0.66	0.43	1.52
0.62	-1.97	0.1	-2.21	0.32	-0.45	-1.01	-1.27	-1.4	-1.81	-0.76	-1.29	0.46	0.83	2.02
-3.1	-0.43	1.71	-0.81	0.31	-2.06	-3.95	-3.31	-2.69	-3.14	-1.75	-2.96	-3.34	-2.93	-2.36
2.78	-1.82	0.97	0.18	0.28	0.62	0.4	2.44	2.02	2.19	3.5	3.82	3.2	3.35	3.23
3.89	1.44	-3.47	1.53	0.37	2.64	4.54	5.46	6.7	6.87	5.09	5.25	4.86	4.94	3.77
-2.21	2.7	-1.8	1.3	0.37	1.49	1.12	0.89	-0.83	-0.59	-0.75	-1.8	-2.1	-2.83	-2.35
1.07	-2.18	-2.33	1.47	0.38	0.52	0.33	-0.19	-0.41	-0.48	1.77	0.44	0.12	1.76	2.6
-4.09	-0.16	-0.05	-0.19	0.37	-3.84	-3.55	-3.64	-3.97	-3.8	-5.57	-5.35	-3.45	-4.12	-3.13
0.82	0.02	0.28	3.53	0.44	-2.33	-0.04	1.69	2.32	2.92	2.32	1.53	1.02	0.72	1.41
1.62	-2.94	1.72	-1.82	0.42	3.06	1.37	-0.32	-0.87	-2.25	0.06	1.33	1.57	3.06	2.98
3.56	-0.35	0.41	-0.34	0.4	2.2	3.57	3.68	3.77	4.38	5.74	5.4	4.26	5.55	3.43
2.24	-0.34	-2.09	0.42	0.46	2	1.21	3.76	1.8	2.34	2.02	2.94	2.1	3.26	2.62
2.06	-0.44	1.69	1.83	0.44	2.94	2.54	2.33	1.47	2.08	1.23	2.6	1.22	1.6	3.24
2.86	-2.27	1.95	-0.43	0.54	2.35	1.85	2.13	1.14	0.92	2.38	2.01	2.66	3.87	4.2
