losingstate	loseccode	gainingstate	gainccode	year	homelandclaim	midat	midpost	cincrat	cowwar	dyaddem	priormid	tcprior45	cwprior	access	oil_gas	coethnicity	coethnic_1	alliance	allydummy	nondemdyad	dyaddem6	decade	borderorigin	violenttransfer	region	dyadid4	regionfe_region_decade	reciprocal_claim_zero	five_year_region	arab_homeland_yes	loseentry_alt	material_value	homeland_not_instrumental	fe_region_decade_alt_region	no_united_germany	no_divided_germany	no_germany	palestine_homeland	potato_dominant	potato_dominant_group	potato_dominant_source	colony2	capital_distance_log	highost45	huth_conflict	origin_treaty	origin_prior_admin	origin_prior_col	origin_prior	origin_icj	origin_war	origin_decol	colony3	homelandclaim_stateonly	high_dfbeta_midpost	high_dfbeta_violentmid	high_dfbeta_war
"Comoros"	581	"France"	220	1975	1.0	0.0	1.0	6.79307E-4	0.0	0.0	0.0	0.0	0.0		0	0	0.0	4	1.0	1.0	0.0	70.0	6.0	0.0	6.0	581220.0	34.0	0.0	62.0	1.0	1.0	0.0	1.0	34.0				1.0				0.0	8.871084	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0			
"France"	220	"Djibouti"	522	1977	0.0	0.0	0.0	0.99859756	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	70.0	6.0	0.0	6.0	522220.0	34.0	0.0	62.0	0.0	0.0	0.0	0.0	34.0				0.0				1.0	8.608678	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Djibouti"	522	"France"	220	1977	0.0	0.0	0.0	0.001402409	0.0	0.0	0.0	0.0	0.0		0	0		4	1.0	1.0	0.0	70.0	6.0	0.0	6.0	522220.0	34.0	0.0	62.0	0.0	1.0	0.0	0.0	34.0				0.0				1.0	8.503905			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Spain"	230	"Equatorial Guinea"	411	1968	0.0	0.0	1.0	0.99836415	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	411230.0	33.0	0.0	60.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	8.396606	1.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Equatorial Guinea"	411	"Spain"	230	1968	0.0	0.0	1.0	0.001635823	0.0	0.0	0.0	0.0	0.0		0	0		4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	411230.0	33.0	0.0	60.0	0.0	1.0	0.0	0.0	33.0				0.0				1.0	8.247482			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"Syria"	652	1946	0.0	0.0	1.0	0.97098666	0.0	0.0	0.0	0.0	1.0		1	0	0.0	4	1.0	1.0	0.0	40.0	6.0	1.0	6.0	652220.0	31.0	0.0	56.0	0.0	0.0	1.0	0.0	31.0				0.0				1.0	8.030735	1.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Syria"	652	"France"	220	1946	0.0	0.0	1.0	0.02901333	0.0	0.0	0.0	0.0	0.0		1	0		4	1.0	1.0	0.0	40.0	6.0	1.0	6.0	652220.0	31.0	0.0	56.0	0.0	0.0	1.0	0.0	31.0				0.0				1.0	7.9142523			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"United Kingdom"	200	"Sierra Leone"	451	1961	0.0	0.0	0.0	0.9955797	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	1.0	60.0	6.0	0.0	6.0	451200.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	8.457443	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Sierra Leone"	451	"United Kingdom"	200	1961	0.0	0.0	0.0	0.9955797	0.0	0.0	0.0	0.0	0.0		0	0		4	1.0	1.0	1.0	60.0	6.0	0.0	6.0	451200.0	33.0	0.0	59.0	0.0	1.0	0.0	0.0	33.0				0.0				1.0	8.445697			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"United Kingdom"	200	"Cameroon"	471	1961	0.0	0.0	0.0	0.9902753	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	471200.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	8.421563	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Cameroon"	471	"United Kingdom"	200	1961	0.0	0.0	0.0	0.009724685	0.0	0.0	0.0	0.0	0.0		0	0		4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	471200.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	8.575839			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"United Kingdom"	200	"Seychelles"	591	1976	0.0	0.0	0.0	0.9999062	0.0		0.0	0.0	1.0		0	0	0.0	4	1.0			70.0	6.0	0.0	6.0	591200.0	34.0	0.0	62.0	0.0	0.0	0.0	0.0	34.0				0.0				1.0	9.002947	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Seychelles"	591	"United Kingdom"	200	1976	0.0	0.0	0.0	9.38217E-5	0.0		0.0	0.0	0.0		0	0		4	1.0			70.0	6.0	0.0	6.0	591200.0	34.0	0.0	62.0	0.0	1.0	0.0	0.0	34.0				0.0				1.0	8.991313			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"South Vietnam"	817	1954	0.0	0.0	0.0	0.91064876	0.0	0.0	0.0	0.0	1.0		1	0	0.0	4	1.0	1.0	0.0	50.0	6.0	1.0	6.0	817220.0	32.0	0.0	57.0	0.0	0.0	1.0	0.0	32.0				0.0				1.0	9.179881	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"South Vietnam"	817	"France"	220	1954	0.0	0.0	0.0	0.089351214	0.0	0.0	0.0	0.0	0.0		1	0		4	1.0	1.0	0.0	50.0	6.0	1.0	6.0	817220.0	32.0	0.0	57.0	0.0	1.0	1.0	0.0	32.0				0.0				1.0	9.184099			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Spain"	230	"Morocco"	600	1969	0.0	0.0	1.0	0.8264331	0.0	0.0	1.0	1.0	1.0		0	0	0.0	4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	600230.0	33.0	0.0	60.0	0.0	0.0	0.0	0.0	33.0				0.0				0.0	6.2595816	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Morocco"	600	"Spain"	230	1969	0.0	0.0	1.0	0.17356686	0.0	0.0	1.0	1.0	1.0		0	0		4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	600230.0	33.0	0.0	60.0	0.0	0.0	1.0	0.0	33.0				0.0				0.0	5.5012584	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Yemen"	679	"Oman"	698	1992	0.0	0.0	0.0	0.6217602	0.0	0.0	1.0	0.0	1.0	2.0	0	1		3	1.0	1.0	0.0	90.0	1.0	0.0	3.0	698679.0	18.0	0.0	32.0	1.0	0.0	0.0	0.0	18.0				0.0	1.0	"Arabs"	"ANM-modified"	0.0	6.828712	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
"Oman"	698	"Yemen"	679	1992	0.0	0.0	0.0	0.3782398	0.0	0.0	1.0	0.0	0.0	2.0	0	1		3	1.0	1.0	0.0	90.0	1.0	0.0	3.0	698679.0	18.0	0.0	32.0	1.0	0.0	0.0	0.0	18.0				0.0	1.0	"Arabs"	"ANM"	0.0	6.7487597	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
"United Kingdom"	200	"Zimbabwe"	552	1980	0.0	0.0	0.0	0.94424015	0.0	0.0	1.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	80.0	6.0	0.0	6.0	552200.0	35.0	0.0	63.0	0.0	0.0	0.0	0.0	35.0				0.0				1.0	8.983565	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Zimbabwe"	552	"United Kingdom"	200	1980	0.0	0.0	0.0	0.05575983	0.0	0.0	1.0	0.0	0.0		0	0		4	1.0	1.0	0.0	80.0	6.0	0.0	6.0	552200.0	35.0	0.0	63.0	0.0	0.0	0.0	0.0	35.0				0.0				1.0	9.009081			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"United Kingdom"	200	"Cyprus"	352	1960	0.0	0.0	0.0	0.9984717	0.0	1.0	0.0	0.0	1.0		0	1	0.0	4	1.0	0.0	1.0	60.0	6.0	0.0	2.0	352200.0	9.0	0.0	15.0	0.0	0.0	0.0	0.0	9.0				0.0				1.0	8.056109	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Cyprus"	352	"United Kingdom"	200	1960	0.0	0.0	0.0	0.001528334	0.0	1.0	0.0	0.0	0.0		0	1		4	1.0	0.0	1.0	60.0	6.0	0.0	2.0	352200.0	9.0	0.0	15.0	0.0	1.0	0.0	0.0	9.0				0.0				1.0	8.040125			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"Lebanon"	660	1946	0.0	0.0	1.0	0.9889476	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	40.0	6.0	0.0	6.0	660220.0	31.0	0.0	56.0	0.0	0.0	0.0	0.0	31.0				0.0				1.0	8.063693	1.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Lebanon"	660	"France"	220	1946	0.0	0.0	1.0	0.011052429	0.0	0.0	0.0	0.0	1.0		0	0		4	1.0	1.0	0.0	40.0	6.0	0.0	6.0	660220.0	31.0	0.0	56.0	0.0	1.0	0.0	0.0	31.0				0.0				1.0	7.8819375			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Mali"	432	"Senegal"	433	1960	0.0	0.0	0.0	0.481571	0.0	0.0	0.0	0.0	0.0	3.5	0	1	0.0	4	0.0	1.0	0.0	60.0	3.0	0.0	4.0	433432.0	21.0	0.0	37.0	0.0	1.0	0.0	0.0	21.0				0.0	0.0	"Blacks (Mande, Peul, Voltaic etc.); Whites (Tuareg & Arabs)"	"ANM"	0.0	5.897154	0.0		0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0			
"Senegal"	433	"Mali"	432	1960	0.0	0.0	0.0	0.518429	0.0	0.0	0.0	0.0	0.0	3.5	0	1	0.0	4	0.0	1.0	0.0	60.0	3.0	0.0	4.0	433432.0	21.0	0.0	37.0	0.0	1.0	0.0	0.0	21.0				0.0	1.0	"Mandingue"	"ANM"	0.0	6.329721	0.0		0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0			
"France"	220	"Cambodia"	811	1953	0.0	0.0	0.0	0.97287506	0.0	0.0	0.0	1.0	1.0		0	0	0.0	4	1.0	1.0	0.0	50.0	6.0	0.0	6.0	811220.0	32.0	0.0	57.0	0.0	0.0	0.0	0.0	32.0				0.0				1.0	9.168059	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Cambodia"	811	"France"	220	1953	0.0	0.0	0.0	0.027124967	0.0	0.0	0.0	1.0	0.0		0	0		4	1.0	1.0	0.0	50.0	6.0	0.0	6.0	811220.0	32.0	0.0	57.0	0.0	1.0	0.0	0.0	32.0				0.0				1.0	9.179469			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"Laos"	812	1953	0.0	0.0	0.0	0.9877341	0.0	0.0	0.0	1.0	1.0		0	0	0.0	4	1.0	1.0	0.0	50.0	6.0	0.0	6.0	812220.0	32.0	0.0	57.0	0.0	0.0	0.0	0.0	32.0				0.0				1.0	9.082734	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Laos"	812	"France"	220	1953	0.0	0.0	0.0	0.012265932	0.0	0.0	0.0	1.0	0.0		0	0		4	1.0	1.0	0.0	50.0	6.0	0.0	6.0	812220.0	32.0	0.0	57.0	0.0	1.0	0.0	0.0	32.0				0.0				1.0	9.1055355			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"India"	750	1954	0.0	0.0	0.0	0.41488943	0.0	1.0	0.0	0.0	1.0		0	0	0.0	4	1.0	0.0	1.0	50.0	6.0	0.0	6.0	750220.0	32.0	0.0	57.0	0.0	0.0	0.0	0.0	32.0				0.0				1.0	8.723231	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"India"	750	"France"	220	1954	0.0	0.0	0.0	0.58511055	0.0	1.0	0.0	0.0	0.0		0	0		4	1.0	0.0	1.0	50.0	6.0	0.0	6.0	750220.0	32.0	0.0	57.0	0.0	0.0	0.0	0.0	32.0				0.0				1.0	8.909235		1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"North Vietnam"	816	1954	0.0	0.0	0.0	0.9214275	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	50.0	6.0	1.0	6.0	816220.0	32.0	0.0	57.0	0.0	0.0	0.0	0.0	32.0				0.0				1.0	9.179881	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"North Vietnam"	816	"France"	220	1954	0.0	0.0	0.0	0.07857249	0.0	0.0	0.0	0.0	0.0		0	0		4	1.0	1.0	0.0	50.0	6.0	1.0	6.0	816220.0	32.0	0.0	57.0	0.0	1.0	0.0	0.0	32.0				0.0				1.0	9.085344			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"Morocco"	600	1956	0.0	0.0	1.0	0.9541676	0.0	0.0	1.0	1.0	1.0		1	0	0.0	4	1.0	1.0	0.0	50.0	6.0	1.0	6.0	600220.0	32.0	0.0	58.0	0.0	0.0	1.0	0.0	32.0				0.0				1.0	7.3569183	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Morocco"	600	"France"	220	1956	0.0	0.0	1.0	0.045832418	0.0	0.0	1.0	1.0	1.0		1	0		4	1.0	1.0	0.0	50.0	6.0	1.0	6.0	600220.0	32.0	0.0	58.0	0.0	1.0	1.0	0.0	32.0				0.0				1.0	7.009409		1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"Tunisia"	616	1956	0.0	0.0	1.0	0.9853181	0.0	0.0	0.0	1.0	1.0		1	0	0.0	4	1.0	1.0	0.0	50.0	6.0	0.0	6.0	616220.0	32.0	0.0	58.0	0.0	0.0	1.0	0.0	32.0				0.0				0.0	7.2520537	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Tunisia"	616	"France"	220	1956	1.0	0.0	1.0	0.014681853	0.0	0.0	0.0	1.0	0.0		0	0	0.0	4	1.0	1.0	0.0	50.0	6.0	0.0	6.0	616220.0	32.0	0.0	58.0	1.0	1.0	0.0	1.0	32.0				1.0				0.0	6.652863	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0			
"France"	220	"German Federal Republic"	260	1957	0.0	0.0	0.0	0.4676826	0.0	1.0	1.0	1.0	1.0	4.5	1	1	0.0	1	1.0	0.0	1.0	50.0	5.0	1.0	2.0	260220.0	8.0	0.0	14.0	0.0	0.0	1.0	0.0	8.0		1.0	1.0	0.0	1.0	"French"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	5.755742	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"German Federal Republic"	260	"France"	220	1957	0.0	0.0	0.0	0.5323174	0.0	1.0	1.0	1.0	1.0	4.5	1	1		1	1.0	0.0	1.0	50.0	5.0	1.0	2.0	260220.0	8.0	0.0	14.0	0.0	0.0	1.0	0.0	8.0		1.0	1.0	0.0	0.0	"Germans"	"L'Europe: Ethnique et Linguistique, 1917"	0.0	5.0106354	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
"United Kingdom"	200	"Tanzania"	510	1961	0.0	0.0	0.0	0.98414457	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	510200.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	8.778634	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Tanzania"	510	"United Kingdom"	200	1961	0.0	0.0	0.0	0.015855443	0.0	0.0	0.0	0.0	0.0		0	0		4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	510200.0	33.0	0.0	59.0	0.0	1.0	0.0	0.0	33.0				0.0				1.0	8.909776			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"Guinea"	438	1958	0.0	0.0	0.0	0.9928609	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	50.0	6.0	0.0	6.0	438220.0	32.0	0.0	58.0	0.0	0.0	0.0	0.0	32.0				0.0				1.0	8.336869	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Guinea"	438	"France"	220	1958	0.0	0.0	0.0	0.007139075	0.0	0.0	0.0	0.0	0.0		0	0		4	1.0	1.0	0.0	50.0	6.0	0.0	6.0	438220.0	32.0	0.0	58.0	0.0	1.0	0.0	0.0	32.0				0.0				1.0	8.267706			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"Mali"	432	1960	0.0	0.0	0.0	0.99038833	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	432220.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	7.9109573	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Mali"	432	"France"	220	1960	0.0	0.0	0.0	0.009611645	0.0	0.0	0.0	0.0	0.0		0	0		4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	432220.0	33.0	0.0	59.0	0.0	1.0	0.0	0.0	33.0				0.0				1.0	8.139149			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"Benin"	434	1960	0.0	0.0	0.0	0.9961155	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	434220.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	8.303752	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Benin"	434	"France"	220	1960	0.0	0.0	0.0	0.003884478	0.0	0.0	0.0	0.0	0.0		0	0		4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	434220.0	33.0	0.0	59.0	0.0	1.0	0.0	0.0	33.0				0.0				1.0	8.291547			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"Mauritania"	435	1960	0.0	0.0	0.0	0.9982314	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	435220.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	7.855157	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Mauritania"	435	"France"	220	1960	0.0	0.0	0.0	0.001768594	0.0	0.0	0.0	0.0	0.0		0	0		4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	435220.0	33.0	0.0	59.0	0.0	1.0	0.0	0.0	33.0				0.0				1.0	8.035927			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Belgium"	211	"DRC"	490	1960	0.0	1.0	1.0	0.8453553	0.0	0.0	1.0	0.0	1.0		1	0	0.0	4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	490211.0	33.0	0.0	59.0	0.0	0.0	1.0	0.0	33.0				0.0				1.0	8.597298	1.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"DRC"	490	"Belgium"	211	1960	0.0	1.0	1.0	0.15464471	0.0	0.0	1.0	0.0	1.0		1	0		4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	490211.0	33.0	0.0	59.0	0.0	1.0	1.0	0.0	33.0				0.0				1.0	8.70616			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"United Kingdom"	200	"Zanzibar"	511	1963	0.0	0.0	0.0	0.99952894	0.0		0.0	1.0	1.0		0			4	1.0			60.0	6.0	0.0	6.0	511200.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	9.046527	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Zanzibar"	511	"United Kingdom"	200	1963	0.0	0.0	0.0	4.71067E-4	0.0		0.0	1.0	0.0		0			4	1.0			60.0	6.0	0.0	6.0	511200.0	33.0	0.0	59.0	0.0	1.0	0.0	0.0	33.0				0.0				1.0	8.897546			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"France"	220	"Ivory Coast"	437	1960	0.0	0.0	0.0	0.9913598	0.0	0.0	0.0	0.0	1.0		0	0	0.0	4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	437220.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	8.365672	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Ivory Coast"	437	"France"	220	1960	0.0	0.0	0.0	0.008640254	0.0	0.0	0.0	0.0	0.0		0	0		4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	437220.0	33.0	0.0	59.0	0.0	1.0	0.0	0.0	33.0				0.0				1.0	8.2948			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"United Kingdom"	200	"Somalia"	520	1960	0.0	0.0	0.0	0.9940639	0.0	1.0	0.0	0.0	1.0		1	0	0.0	4	1.0	0.0	1.0	60.0	6.0	0.0	6.0	520200.0	33.0	0.0	59.0	0.0	0.0	1.0	0.0	33.0				0.0				1.0	8.685246	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Somalia"	520	"United Kingdom"	200	1960	0.0	0.0	0.0	0.00593607	0.0	1.0	0.0	0.0	0.0		1	0		4	1.0	0.0	1.0	60.0	6.0	0.0	6.0	520200.0	33.0	0.0	59.0	0.0	1.0	1.0	0.0	33.0				0.0				1.0	8.826588		1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"United Kingdom"	200	"Nigeria"	475	1961	0.0	0.0	0.0	0.90681237	0.0	1.0	0.0	0.0	1.0		0	0	0.0	4	1.0	0.0	1.0	60.0	6.0	0.0	6.0	475200.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	8.377932	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Nigeria"	475	"United Kingdom"	200	1961	0.0	0.0	0.0	0.09318764	0.0	1.0	0.0	0.0	0.0		0	0		4	1.0	0.0	1.0	60.0	6.0	0.0	6.0	475200.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	8.4487			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"United Kingdom"	200	"Kuwait"	690	1961	0.0	0.0	0.0	0.9833094	0.0	0.0	0.0	1.0	1.0		1	0	0.0	4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	690200.0	33.0	0.0	59.0	0.0	0.0	1.0	0.0	33.0				0.0				1.0	8.420682	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Kuwait"	690	"United Kingdom"	200	1961	0.0	0.0	0.0	0.016690621	0.0	0.0	0.0	1.0	0.0		1	0		4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	690200.0	33.0	0.0	59.0	0.0	1.0	1.0	0.0	33.0				0.0				1.0	8.419801			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"United Kingdom"	200	"Uganda"	500	1962	0.0	0.0	1.0	0.988564	0.0	1.0	0.0	0.0	1.0		0	0	0.0	4	1.0	0.0	1.0	60.0	6.0	0.0	6.0	500200.0	33.0	0.0	59.0	0.0	0.0	0.0	0.0	33.0				0.0				1.0	8.704336	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Uganda"	500	"United Kingdom"	200	1962	0.0	0.0	1.0	0.011436006	0.0	1.0	0.0	0.0	0.0		0	0		4	1.0	0.0	1.0	60.0	6.0	0.0	6.0	500200.0	33.0	0.0	59.0	0.0	1.0	0.0	0.0	33.0				0.0				1.0	8.756682			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Egypt"	651	"Syria"	652	1961	0.0	0.0	0.0	0.83836806	0.0	0.0	0.0	0.0	1.0		1	1	0.0	1	1.0	1.0	0.0	60.0	2.0	0.0	3.0	652651.0	15.0	0.0	26.0	0.0	0.0	1.0	0.0	15.0				1.0	1.0	"Arabs"	"ANM"	0.0	6.261492	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0			
"Syria"	652	"Egypt"	651	1961	1.0	0.0	0.0	0.16163191	0.0	0.0	0.0	0.0	0.0		1	1	0.0	1	1.0	1.0	0.0	60.0	2.0	0.0	3.0	652651.0	15.0	0.0	26.0	1.0	1.0	1.0	0.0	15.0				1.0	1.0	"Arabs"	"ANM"	0.0	5.7365723	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0			
"United Kingdom"	200	"Yemen PR"	680	1967	0.0	0.0	0.0	0.99613774	0.0	0.0	0.0	0.0	1.0		1	0	0.0	4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	680200.0	33.0	0.0	60.0	0.0	0.0	1.0	0.0	33.0				0.0				1.0	8.586533	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"Yemen People's Republic"	680	"United Kingdom"	200	1967	0.0	0.0	0.0	0.003862286	0.0	0.0	0.0	0.0	1.0		1	0		4	1.0	1.0	0.0	60.0	6.0	0.0	6.0	680200.0	33.0	0.0	60.0	0.0	1.0	1.0	0.0	33.0				0.0				1.0	8.660947			0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
"India"	750	"Burma"	775	1947	0.0	0.0	1.0	0.95823276	0.0	1.0	0.0	0.0	0.0	2.0	0	0	0.0	4	0.0	0.0	1.0	40.0	3.0	0.0	5.0	775750.0	25.0	0.0	45.0	0.0	1.0	0.0	0.0	25.0				0.0				0.0	7.430707	0.0		0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0			
"Myanmar"	775	"India"	750	1947	0.0	0.0	1.0	0.04147354	0.0	1.0	0.0	0.0	1.0	2.0	0	0	0.0	4	0.0	0.0	1.0	40.0	3.0	0.0	5.0	775750.0	25.0	0.0	45.0	0.0	0.0	0.0	0.0	25.0				0.0				0.0	6.823286	0.0		0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0			
"Portugal"	235	"Mozambique"	541	1975	0.0	0.0	0.0	0.70543337	0.0	0.0	0.0	0.0	1.0		1	0	0.0	4	1.0	1.0	0.0	70.0	6.0	0.0	6.0	541235.0	34.0	0.0	62.0	0.0	0.0	1.0	0.0	34.0				0.0				1.0	8.87989	0.0		0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0			
