OBS	AGE	BLACK	BRTHORD	EDUC	EXPER	FEDUC	HOURS	IQ	KWW	MARRIED	MEDUC	SIBS	SOUTH	TENURE	URBAN	WAGE
410	33	0	2	16	11	16	45	107	31	1	16	2	1	1	1	1368
411	32	0	2	18	7	12	45	121	39	1	12	2	0	13	1	1282
412	38	0	2	11	19		60	115	40	1		1	0	4	1	1250
413	35	0	1	15	15	10	40	134	42	1	12	2	0	7	1	1346
414	37	0	3	17	15		50	96	47	1		2	0	12	1	1424
415	29	0	3	16	8	16	48	120	38	0	12	2	0	5	1	854
416	32	0	2	15	9	10	50	105	36	0	12	2	0	5	1	888
417	34	0	6	12	5		50	121	40	1	10	5	0	10	1	1161
418	30	0	2	16	9	9	58	113	29	1	12	2	0	0	1	583
419	29	0	1	12	5	13	45	106	37	1	12	2	0	3	1	1260
420	35	0	2	18	8	12	48	104	41	1	9	3	0	13	0	947
421	33	0		11	14	10	40	80	23	1	10	3	0	15	1	1850
422	30	0	3	12	13	10	40	117	28	1	10	3	0	2	1	1575
423	28	0	2	16	10	12	38	126	42	0	12	2	0	8	1	758
424	36	0	2	12	19	8	40	112	42	1	10	3	0	15	1	1442
425	38	0	2	13	20		55	104	47	1		2	1	4	1	489
426	31	1	5	12	5	10	40	116	33	1	9	9	0	0	1	1126
427	32	1		12	12	8	40	70	18	0	8	6	0	5	1	1000
428	32	0	1	12	13	6	70	83	20	1	6	5	0	11	1	500
429	32	0	2	12	13	6	50	84	13	1	6	5	0	9	1	1200
430	33	0	4	10	15		45	82	30	1		4	0	3	0	565
431	31	0	1	12	13	8	40	109	32	1	12	0	0	2	0	1920
432	29	0	1	14	7	12	45	111	25	1	12	4	0	7	1	684
433	37	0	1	12	20	7	40	94	33	1	12	1	0	4	0	774
434	30	0		16	7	8	60	96	32	1	12	3	0	4	0	233
435	30	0	3	13	12	13	40	101	33	1	12	3	0	10	0	975
436	30	0	3	12	13	12	40	90	35	1	12	3	0	1	1	1366
437	37	0	3	16	16	12	40	120	48	1	12	3	1	3	1	2137
438	29	0	1	16	10	12	40	120	38	1	12	1	1	1	1	700
439	33	0	2	12	16		40	108	29	1	8	3	0	11	1	1200
440	36	0	1	13	16	8	40	99	43	1	12	0	0	18	1	1161
441	34	0	1	11	16	6	60	80	31	1	12	6	0	15	1	729
442	36	0	2	11	17	5	45	93	45	1	10	1	0	2	1	750
443	38	0	2	12	4		45	85	46	1		1	0	16	1	1026
444	32	0	1	15	11	10	45	118	43	1	11	3	0	3	1	1111
445	31	0	3	12	12		50	115	31	1	12	2	0	8	1	625
446	30	0	1	16	11	11	42	119	28	1	10	5	0	5	1	1200
447	32	0	3	12	8	11	40	94	39	1	12	8	0	1	1	1541
448	34	0	1	16	12	16	40	109	42	1	13	0	0	9	1	1154
449	33	0	1	13	10	8	40	104	37	0	14	2	0	0	0	310
450	30	0	2	12	14	6	50	89	21	1	7	1	0	4	0	610
451	36	0	2	12	16	8	43	101	28	1	12	2	0	17	0	1749
452	31	0	2	16	9	7	40	96	34	0	12	4	1	1	1	1000
453	36	0	1	12	14	7	40	109	48	1	9	1	0	1	0	350
454	37	0	6	12	17	6	45	94	38	1	4	10	0	18	0	765
455	34	0	5	12	15	5	40	115	34	1	6	6	0	2	0	790
456	38	0	1	12	16	4	47	92	41	1	8	12	0	17	0	818
457	30	0	2	9	12	5	60	71	32	1	11	4	0	1	0	477
458	33	0	1	14	15	11	50	130	39	1	12	3	0	1	0	938
459	32	0	1	16	10	12	55	119	38	1	12	0	0	4	1	2099
460	32	0	2	12	14	13	40	74	24	1	10	4	0	3	1	350
461	32	1	2	12	13	8	48	104	25	1	12	7	0	0	1	940
462	28	0	2	15	11		40	124	23	1	10	2	0	8	1	1202
463	31	0	1	15	9		40	94	29	1	12	1	0	4	0	450
464	37	0	4	16	16	4	40	120	44	1	12	5	0	13	0	1058
465	37	0	5	11	15	9	40	96	40	1	8	5	0	15	1	1000
466	36	1		12	16	5	40	67	35	1	7	6	1	5	1	318
467	34	1		11	13	8	40	69	26	0	8	3	0	9	1	556
468	28	0	1	12	11	11	60	98	42	1	12	0	0	9	1	958
469	38	1	3	9	22	4	40	92	23	1	7	7	0	13	1	995
470	33	0		14	16	10	50	109	44	1	9	2	0	5	0	1600
471	30	0		18	6	12	45	100	39	0	12	1	0	5	0	606
472	30	0	2	12	13	12	45	101	25	1	11	4	0	1	1	511
473	32	0	1	16	11	9	45	111	40	1	12	1	1	12	1	1411
474	37	0	1	16	15	14	40	106	38	1	8	1	0	11	1	1346
475	37	0	2	12	15	10	46	102	37	1	12	3	0	16	0	1522
476	30	0	1	14	9	10	40	115	28	1	12	2	0	10	0	1075
477	28	0	4	12	11	8	50	99	37	1	10	5	0	11	1	1200
478	36	0	2	16	15	10	37	118	48	1	11	2	0	1	1	1377
479	33	0	1	13	8	16	55	132	37	1	13	2	0	2	0	874
480	30	0		13	11	16	40	108	26	1	12	3	0	9	1	625
481	33	0	1	12	17	10	32	98	40	1	14	0	0	2	1	1250
482	36	0	2	13	20	11	40	111	44	1	8	4	0	12	1	1082
483	38	0	2	11	18	8	40	79	36	1	8	3	0	3	0	693
484	31	0	1	12	11	11	55	97	29	1	12	3	0	11	0	727
485	38	0	3	15	16	14	50	99	49	1	12	2	0	15	0	615
486	31	0	3	16	5		40	101	33	1	12	2	0	7	1	913
487	36	0	1	17	4	18	46	120	45	1	12	2	0	10	0	884
488	29	0	3	12	10	8	43	97	33	1	8	2	0	4	1	698
489	36	0	3	12	17	12	55	106	34	1	8	3	0	18	0	800
490	30	0	1	16	9	12	40	131	44	0	12	1	0	3	0	812
491	34	0		11	16	8	40	93	32	1	12	1	0	14	1	1000
492	32	0	2	12	11	8	49	79	23	0	8	4	0	3	0	549
493	31	0	2	12	13		35	100	38	1	11	4	0	15	1	1300
494	33	0	4	16	9	8	50	107	30	1	9	6	0	8	1	923
495	32	0	1	12	15	10	40	112	42	1		3	0	15	0	1539
496	30	0	2	12	11	10	40	105	22	1	12	3	0	9	0	721
497	31	0	1	12	15	10	40	114	25	1	12	2	0	14	0	815
498	38	0	10	12	20		80	116	36	1	8	10	0	2	0	600
499	37	0	3	12	18	13	40	104	41	1	11	2	0	7	1	1100
500	35	0	1	12	18	12	40	85	48	1	9	2	0	19	1	1058
501	30	0	2	12	15	12	40	93	46	1	9	2	0	1	1	962
502	37	0	2	12	5	7	50	100	40	1	8	2	0	9	0	433
503	29	0	3	11	9		40	71	20	1		2	0	2	0	940
504	32	0	1	16	9	12	38	88	36	0	12	2	0	10	1	1417
505	29	0	1	12	11	8	65	93	32	1	12	7	0	9	1	1000
506	32	0	4	13	14	8	40	98	26	1	12	3	0	5	0	500
507	28	0	4	14	8	10	50	110	35	1	12	3	0	5	1	800
508	35	0	3	12	17	6	40	109	31	1		4	0	18	0	766
509	33	0	1	14	12	12	43	94	38	1	11	1	0	10	0	750
510	37	0	3	12	15	8	40	77	36	1	8	6	0	2	0	550
511	34	0	1	11	16		52	89	35	1		6	0	4	1	795
512	30	0	6	12	12	6	40	102	44	1	12	10	0	10	1	723
513	34	0	2	14	12	14	40	113	49	1	16	1	0	8	1	1039
514	32	0	2	10	11	5	55	103	38	1	12	3	1	15	1	200
515	32	1	3	10	12		40	90	36	1	8	5	0	1	1	400
516	35	0	1	11	17	7	40	96	31	1	12	2	1	1	1	575
517	37	0	1	11	16	6	40	97	35	1	12	1	1	5	1	850
518	32	1	1	12	16		50	87	35	1	10	2	1	1	1	508
519	37	0	3	12	11		45	89	39	1	15	3	1	4	1	1162
520	30	1	1	13	13		43	70	28	1	8	3	1	5	1	1199
521	31	0	4	16	8	17	40	104	34	1	16	3	1	4	1	1270
522	33	0	2	16	5	12	45	116	36	1	11	2	1	3	1	350
523	28	1	1	14	9		40	85	32	1	7	5	1	9	1	963
524	37	0	4	15	14	12	45	104	47	1	12	3	1	11	1	1463
525	29	1	6	12	13	12	40	99	26	1	9	8	1	12	1	802
526	30	1	2	12	12	6	45	93	18	1	6	1	1	7	1	642
527	28	0	2	13	9	10	40	114	37	1	12	2	1	2	1	751
528	31	0		17	5	16	40	103	40	1	12	1	1	3	1	488
529	36	0	1	12	15	2	40	92	34	1	6	2	1	5	1	1400
530	31	0	2	18	10	12	45	98	41	1	8	2	1	7	1	940
531	37	0	1	13	15		40	114	48	1	12	3	1	16	1	866
532	38	1	2	12	20	6	40	77	42	1	12	5	1	4	1	675
533	30	1	1	14	9		40	89	24	1	13	3	1	3	1	375
534	33	1		14	10		40	93	44	1	16	1	1	1	1	325
535	38	0		12	16	5	40	110	37	1	12	2	1	17	1	346
536	33	0	1	17	8	12	40	132	39	1	8	3	1	1	1	1442
537	32	0	1	16	13	2	49	112	37	1	8	3	1	2	0	560
538	36	0	2	12	17	12	56	99	42	1	12	1	1	11	1	550
539	32	1	2	16	8		44	96	26	1	10	1	1	10	1	950
540	38	0	1	13	16	14	45	106	45	1	12	1	1	2	1	684
541	33	0	1	16	7		40	128	43	1	18	0	1	1	1	1322
542	38	0	3	12	18	3	40	95	48	1		3	1	3	1	1634
543	30	0	4	12	8	7	40	80	30	0	8	3	1	0	1	417
544	32	0	6	11	9	6	45	71	24	1	6	13	1	0	1	472
545	34	1	1	12	16		50	89	28	1	9	6	1	1	1	666
546	32	0	2	18	10	16	55	127	45	1	12	1	1	3	1	1679
547	31	0	5	16	1	8	40	114	43	0	8	6	1	9	1	1039
548	30	0	6	13	13		40	102	30	1	7	5	1	11	1	1250
549	31	0	1	12	12	7	40	88	34	1	12	2	1	15	1	760
550	29	0	2	12	14	7	42	88	32	1	12	2	1	12	1	1154
551	37	0	1	15	14	12	60	110	45	1	14	5	0	1	1	1602
552	29	1	2	13	13	9	40	110	40	1	7	1	1	13	1	1442
553	30	0	2	16	5	12	40	130	39	1	8	4	0	3	1	865
554	36	0	2	12	15		50	100	44	1		1	1	12	1	705
555	35	0	1	12	16		40	101	36	1	12	1	1	1	1	1000
556	32	0	7	10	13		44	89	36	1	9	6	1	9	1	852
557	35	0	2	12	16	12	40	80	25	1	12	1	0	14	1	770
558	34	0	4	12	16	12	40	72	20	1	12	3	0	9	1	1000
559	36	0	1	18	10	12	55	115	56	1	12	1	0	5	1	1329
560	37	0	2	16	10	17	40	115	48	1	12	1	1	4	1	1682
561	31	1	2	16	4	8	55	108	47	1	8	2	1	0	1	577
562	38	0	6	12	17	3	40	93	27	0	8	6	1	7	1	685
563	29	1	1	16	8	18	40	111	37	0	18	1	1	8	1	577
564	38	1	1	12	19	12	40	101	38	1	11	6	1	9	1	1040
565	32	0	1	16	10	10	40	92	42	0	12	1	1	11	1	1250
566	28	0	5	13	7		40	115	40	0	5	4	1	7	1	600
567	35	1	5	12	17	10	40	76	29	0	11	8	1	3	1	480
568	29	0	3	11	11	12	40	93	26	1	12	5	1	0	1	1000
569	36	0	2	12	15	8	48	91	39	1	8	1	1	15	1	988
570	34	0	1	10	19	9	45	90	35	1	9	2	1	10	1	478
571	30	1	3	12	11	4	40	84	23	1	9	5	1	2	1	440
572	30	1	6	12	11		40	120	43	1		6	1	1	1	485
573	36	1	1	9	19		40	89	32	1		0	1	0	1	705
574	34	0	4	12	16	10	40	104	47	1	9	8	1	1	0	1550
575	29	1	2	12	11	9	40	107	23	1	6	11	1	9	1	960
576	32	0	3	12	16	12	40	100	42	1	12	2	1	14	1	1000
577	36	0	1	18	4	15	40	129	40	1	15	3	1	5	0	625
578	35	0	1	16	14	16	40	112	39	1	12	0	0	14	1	1346
579	31	1	5	12	13	8	40	76	17	0		13	0	13	1	961
580	38	0	4	12	15		40	97	45	1		3	1	1	0	479
581	36	0	5	11	17	2	50	98	38	1	11	4	1	16	0	1201
582	31	0	3	16	8		45	60	34	1		2	1	2	1	1346
583	32	0	3	18	13	7	35	132	45	1	12	2	1	8	1	1122
584	38	1	2	14	5		45	90	31	1	6	1	1	7	1	543
585	31	1	2	11	12		40	63	26	1	7	7	1	4	1	450
586	32	0	2	14	10	16	55	110	36	1	13	2	1	4	1	507
587	34	0	5	11	17		60	88	38	1		4	1	5	1	547
588	35	0	2	11	18	6	56	98	41	1		2	1	16	1	586
589	29	1		12	6	3	55	61	24	1	8	9	1	4	0	462
590	37	1		12	13		40	76	32	1		5	0	8	1	705
591	29	0	2	12	7		40	127	44	1	11	3	0	1	1	1566
592	36	0	2	13	18	8	40	94	39	1	8	2	1	18	1	1634
593	32	0	3	16	4	16	45	97	48	1	16	11	0	1	1	1282
594	31	1	1	16	6	12	40	127	44	1	12	2	1	2	1	556
595	33	0	1	15	7	12	40	109	42	1	11	2	0	8	1	1200
596	31	0	3	12	6	3	45	89	21	1	3	4	1	6	0	855
597	37	0	1	12	18	11	40	90	33	1	11	1	1	7	0	1053
598	28	0	1	12	11	7	48	105	39	1	12	0	1	4	0	1000
599	34	0	2	12	18		55	100	27	0	8	2	0	5	1	900
600	31	0		16	10	12	45	111	40	1	16	1	1	10	0	1602
601	31	0	1	17	9	13	50	125	44	1	16	3	1	2	1	508
602	29	0		16	6	10	60	124	20	1	12	2	1	6	0	1500
603	32	0	1	14	15	12	50	107	41	1	12	0	1	9	1	1682
604	35	0		13	13	16	40	110	45	1	12	2	1	1	1	750
605	29	0	1	14	8	16	40	102	32	1	16	1	1	7	0	843
606	38	0	1	12	17		40	93	26	0		0	1	18	0	409
607	34	0	1	12	17		40	81	36	1	12	1	1	15	0	1004
608	30	0	2	12	13	10	40	99	36	1	12	1	1	10	0	650
609	37	1	1	12	17		40	93	26	1		4	1	9	0	808
610	30	0	1	13	8	12	45	102	35	1	12	0	1	2	0	2137
611	38	0	1	12	14	5	48	95	44	1	12	1	1	21	1	761
612	35	0	1	16	8	8	40	98	37	0	11	0	1	3	1	769
613	31	1	2	12	7		40	84	28	1		2	1	8	1	345
614	31	0	1	12	6	7	40	88	30	1		2	1	10	1	495
615	31	0	4	16	9		38	109	41	1	4	3	1	3	1	987
616	38	0	3	12	21	5	60	82	41	1	8	3	1	1	0	2500
617	32	0	2	14	6		45	105	22	0	12	1	1	1	1	1098
618	38	0	1	12	6	8	40	95	36	1	12	3	1	16	0	1212
619	28	1	2	15	8	7	40	92	33	1	10	1	1	1	1	577
620	30	1	3	15	10	6	59	74	26	1	7	3	1	3	1	390
621	32	0	1	16	9	14	40	123	43	1	12	1	1	12	1	1500
622	30	0	2	12	9	12	80	86	24	1	12	2	1	1	1	583
623	36	0	6	11	16		40	92	22	1		5	1	1	1	460
624	38	0	2	12	12		40	87	41	1	8	2	1	13	1	945
625	31	0	2	16	9	10	60	117	39	1	12	1	1	3	1	1442
626	38	0	2	16	14	4	45	112	50	1	12	1	1	8	1	1333
627	33	0	1	15	8	18	37	119	41	0	12	1	0	5	1	1500
628	34	0	1	16	7		45	103	30	1		3	0	1	1	1333
629	36	1		12	16		40	74	29	1	9	3	1	4	1	700
630	32	0	1	13	11	9	36	81	33	1	6	0	1	5	1	973
631	32	0	1	18	10	10	40	124	48	1	10	1	1	8	1	2162
632	36	0	2	12	10	8	41	89	38	1	7	1	1	7	0	797
633	32	1	7	12	14	6	40	88	34	1	7	7	1	1	1	400
634	32	1	2	12	15	5	40	67	31	1	9	3	0	11	1	1015
635	29	0	1	16	8	16	43	106	41	1	12	1	1	9	1	1744
636	32	0	1	15	14	5	40	103	30	1	11	0	1	2	0	630
637	32	0	1	12	11	8	40	91	40	1	6	0	1	4	0	445
638	31	0	1	16	12	12	42	101	34	1	12	0	1	9	1	660
639	37	1	4	12	14		40	85	30	1	12	7	1	7	1	779
640	36	0	1	12	9	12	40	83	32	0	12	1	1	1	1	377
641	35	1	1	12	16		44	70	34	1	8	2	1	11	1	560
642	32	0	2	17	7	11	60	102	54	1	12	2	1	13	1	1122
643	30	0	4	12	9	7	50	94	34	1	7	6	1	2	0	453
644	37	0	2	10	17	8	40	97	38	1	12	1	1	9	1	1386
645	31	0	1	17	7	16	40	115	38	1	12	2	1	9	1	1539
646	35	0	5	16	11	18	40	117	38	1	17	5	1	12	1	1154
647	37	0	4	14	15	4	50	105	45	1	8	3	1	2	1	962
648	38	0	2	16	8		55	113	36	0	8	1	1	1	1	722
649	37	0	3	12	9	11	40	83	37	1	10	4	1	3	1	480
650	38	0	2	18	8	12	50	101	44	1	17	3	1	9	0	808
651	36	0	1	13	14	12	40	113	36	1	12	2	1	8	1	1442
652	37	0	1	13	13		50	88	31	1	12	4	0	4	1	1091
653	33	1	1	12	16		40	93	41	0	12	1	1	0	1	350
654	36	1	1	12	18		40	83	39	1	7	0	1	11	1	500
655	30	0	2	16	9	14	45	113	27	1	16	2	1	13	1	1026
656	33	1	2	17	11	16	40	106	43	0	13	3	1	7	1	577
657	30	0	2	15	5	12	60	106	38	1	12	2	1	1	1	1333
658	37	0		12	17		55	114	36	1	10	1	0	9	1	915
659	30	0	1	16	9	10	40	119	32	0	11	5	1	10	1	1105
660	30	1		14	5	3	40	82	26	1	9	10	1	5	1	910
661	38	0	7	12	17	4	40	89	40	1	1	7	1	8	1	1000
662	33	1	6	12	14	4	40	74	18	1	3	9	1	1	1	1160
663	29	1	8	12	12	4	34	77	22	1	3	9	1	3	1	1001
664	36	1	4	12	5		40	75	25	1		7	1	12	1	713
665	30	0	1	13	12	12	40	97	28	1	12	2	1	5	1	929
666	31	1	1	12	4	2	50	68	35	1	6	6	1	9	1	400
667	33	0	3	13	9	12	40	83	51	1	12	2	1	10	1	1241
668	36	0	1	12	21		40	97	40	1	12	1	1	10	1	1065
669	30	0		12	5	12	45	98	37	1	12	2	1	3	1	403
670	30	1	2	13	15		45	102	30	1		2	1	12	1	940
671	34	1	2	10	17	3	40	81	20	1	8	2	1	13	1	812
672	35	1		10	13	10	20	85	27	1	6	3	1	0	1	700
673	33	1		10	12		40	86	20	1		8	1	6	1	575
674	36	1	6	10	20	12	40	79	23	1	12	7	1	5	1	450
675	31	0	3	12	14	6	43	84	24	1	8	4	1	10	0	621
676	30	0	4	12	12	6	38	74	24	1	8	4	1	11	0	441
677	33	1	1	16	6		40	92	25	1		11	1	9	0	625
678	36	0	2	12	16		45	93	32	1	6	5	1	5	0	726
679	38	1	6	9	21		40	69	18	1	6	8	1	13	1	500
680	34	0	1	17	8	18	44	113	41	1	17	4	1	2	1	1000
681	38	0	1	12	15	7	48	92	37	1	8	1	1	16	1	393
682	28	0	2	12	8	12	40	127	44	0	9	2	1	3	0	600
683	37	0	1	12	21		50	109	44	1	6	0	1	12	0	962
684	34	0	1	12	15	8	40	97	42	1	10	5	1	4	0	962
685	30	0	4	11	10	10	40	66	30	1	0	14	0	7	1	865
686	35	0	1	16	10	14	50	109	46	1	16	2	1	3	1	1154
687	34	0	1	16	10	14	42	109	43	1	4	1	1	11	0	1386
688	36	0	2	12	10		40	104	36	1		1	1	7	1	732
689	34	0	3	13	4	8	40	85	44	1	8	3	1	9	1	865
690	31	0	6	12	13	4	40	81	26	1	8	5	1	13	0	700
691	37	0		9	20	4	40	87	12	1	5	3	1	10	0	975
692	33	0	3	13	12	12	40	78	40	1	12	2	1	3	1	1300
693	31	0	1	14	12	12	40	54	37	1	12	2	1	3	1	900
694	36	0	5	12	15	8	40	98	33	1	8	4	0	15	1	829
695	36	0		12	17		40	98	34	1	12	3	1	13	1	1000
696	30	0	1	16	7	12	40	105	29	1	16	2	0	8	1	827
697	31	0		13	5		44	87	25	1	12	7	1	2	1	500
698	28	0	2	13	9	12	40	117	25	1	12	3	0	1	1	1155
699	29	0		15	8	12	55	85	30	0	12	2	0	3	1	950
700	30	0	5	13	10		40	82	35	1	8	4	0	4	1	700
701	32	0	1	18	7		45	114	39	1	12	1	0	6	1	1710
702	32	1	1	12	5	12	30	65	21	0	11	5	0	1	1	533
703	34	0	1	18	10	12	48	105	48	1	12	2	0	0	1	2004
704	32	0	2	14	9	7	60	92	20	1	7	1	0	8	1	890
705	29	0	2	13	11	12	30	107	23	1	12	2	0	4	1	3078
706	37	0	2	17	10	16	40	111	41	1	12	3	0	13	1	1539
707	31	1		12	1		40	73	38	1		1	0	1	1	508
708	35	0	1	17	13	16	40	119	49	0	16	2	0	9	0	1354
709	38	0	1	12	21	12	35	97	40	1	12	5	0	8	1	1143
710	33	0	1	12	16	10	40	110	34	1	10	2	0	8	1	962
711	38	0	1	12	19	12	44	96	32	1	12	2	0	20	1	1250
712	34	1	1	12	16	8	40	67	23	1	8	2	0	3	1	990
713	37	0	5	12	17	12	40	102	31	1	12	5	0	4	0	905
714	38	0	5	12	18	2	55	64	22	1	0	4	0	0	1	926
715	34	0	4	12	17	8	40	103	32	1	8	3	0	10	1	1559
716	32	0	1	10	14	8	40	118	39	1	12	0	0	4	1	1312
717	35	1	1	14	8		40	118	36	1	7	5	0	16	1	923
718	31	0	2	18	1	13	40	118	41	1	13	1	0	9	1	879
719	38	0	1	13	14	10	25	75	37	1	12	0	1	1	1	800
720	32	0	3	14	6	10	50	112	45	1	12	3	0	10	0	1049
721	30	0	4	12	4	10	40	95	20	0	12	3	0	1	0	550
722	34	0	1	17	4	14	40	119	38	1	12	0	0	2	1	1190
723	37	0	1	14	10	12	48	94	35	1	12	2	0	6	0	583
724	30	0	1	14	5	7	40	103	27	1	6	1	0	2	1	1200
725	33	0	2	16	11	17	55	90	36	1	14	5	0	5	1	797
726	36	0	2	18	8	12	40	128	50	1	16	1	0	13	0	1371
727	38	1		13	11	8	55	110	44	0	12	4	0	1	1	360
728	30	0	2	12	11	12	40	84	40	1	12	2	0	12	1	1270
729	36	0	2	12	16	12	40	97	38	1	8	1	0	1	1	1832
730	33	0	3	12	14	7	40	102	34	1	12	3	0	5	1	909
731	33	0	3	18	9	12	40	131	41	1	12	7	0	10	1	1746
732	30	0	5	16	8	12	40	126	23	1	12	7	0	1	1	520
733	29	0	6	16	6	12	40	107	32	1	12	7	0	7	0	808
734	36	0	3	16	11		45	108	45	1	12	2	0	2	1	2137
735	38	1	1	15	9	8	50	92	49	1	8	0	0	3	1	692
736	36	0	2	16	4	12	80	108	40	1	12	4	0	1	1	931
737	34	0	2	16	11	8	45	115	46	1	12	1	0	3	1	812
738	35	0	1	14	16	12	40	111	44	1	12	1	0	14	1	866
739	36	0	5	12	14	12	40	115	47	1	12	7	0	9	1	1442
740	32	0	2	14	12	6	40	101	31	1	11	2	0	0	0	500
741	37	0	1	18	12	13	50	114	48	1	12	1	0	2	1	1384
742	30	0	5	18	5	12	55	116	40	1	12	4	0	9	1	528
743	36	0	3	12	4		40	90	41	1	12	2	0	14	0	881
744	28	0	1	12	11	17	45	125	33	1	14	3	0	11	1	1026
745	28	0		12	11	10	40	98	26	0	12	4	0	12	1	1212
746	29	0	2	15	8		38	111	42	1	10	1	0	5	0	1620
747	32	0	2	16	11		48	109	38	1	12	3	0	2	1	1843
748	37	0	2	16	12	12	60	124	36	1	12	1	0	2	1	1602
749	33	0	2	13	6	14	40	121	35	1	8	2	0	1	1	1000
750	30	0	4	12	7		48	103	37	1	10	4	0	4	1	737
751	29	0	3	12	10	12	40	96	19	0	12	2	1	1	1	1699
752	33	0	2	12	11	8	40	100	40	1	12	1	0	9	1	1699
753	32	0	3	14	6	12	48	104	30	1		2	0	5	1	1025
754	38	0	3	12	12	12	40	112	38	1	11	5	0	5	1	1107
755	31	0	4	11	1	12	40	73	24	1	12	3	0	1	1	625
756	29	0	2	13	1	11	50	101	39	1	11	4	0	7	1	720
757	36	0	2	12	19	12	40	99	44	1	12	1	0	10	1	855
758	32	0	2	12	12	12	40	95	23	1	12	2	0	2	1	1250
759	38	0	2	18	4	15	40	109	40	1	18	1	0	13	0	1130
760	28	0		12	6	13	40	110	35	0	13	1	0	1	1	900
761	38	0	1	17	6		50	98	49	1	4	1	0	7	1	1924
762	37	0	1	15	8	16	40	112	46	1	12	2	0	2	1	962
763	38	1		11	22		48	64	37	1		7	0	3	1	1874
764	30	0	3	12	5	8	55	90	28	1	11	4	0	3	1	1573
765	36	0	2	14	11	10	45	102	46	1	12	1	0	7	1	940
766	30	0	2	16	8	12	40	119	39	1	12	1	0	9	0	900
767	31	0	3	12	15	10	44	96	34	1	8	6	0	13	0	882
768	38	0	1	18	12	12	45	118	40	1	12	1	0	12	1	1710
769	37	0	2	12	19	8	45	79	39	1	9	3	0	15	0	1260
770	38	0	1	12	9	8	40	96	42	1	10	1	0	7	0	751
771	28	0	1	11	12	11	50	80	27	1	12	5	0	12	0	1097
772	33	0	6	13	11		48	137	36	1	12	5	0	11	0	1001
773	34	0	1	15	11	9	40	116	42	0	12	2	0	12	0	1154
774	35	0	4	12	15	8	43	69	31	1	12	4	0	16	1	1000
775	33	0		12	16	2	40	78	36	1	6	9	0	3	1	1250
776	38	0	1	12	18	8	65	99	41	1	8	2	1	3	1	857
777	31	0	2	12	13	12	27	92	33	1	16	3	0	3	1	1211
778	29	0		16	12	12	32	113	23	1	16	3	0	7	1	937
779	33	0		13	7		50	98	29	1	12	5	0	1	1	904
780	29	0	1	15	7	18	45	115	30	1	12	3	0	4	1	872
781	34	0	3	9	18	8	40	96	26	1		4	0	0	1	1200
782	35	0	1	17	1	8	40	117	41	1	6	4	0	9	1	1261
783	35	0	1	12	14	2	40	96	38	1	8	1	0	2	1	950
784	29	0	6	12	9	11	50	108	46	1	10	5	0	3	1	115
785	31	0	5	17	6	12	40	92	34	1	16	5	0	4	1	673
786	37	0	2	15	17	16	45	95	38	1	16	1	0	10	1	1084
787	34	0	1	14	13	9	40	94	40	1	15	0	0	14	1	1058
788	38	0	6	12	20	8	40	115	38	1	7	7	0	12	0	800
789	31	0	4	18	11		40	117	36	0		3	0	1	0	369
790	36	0	1	16	14		40	105	42	1	12	0	0	13	0	1924
791	36	0	1	12	17	6	40	109	36	1	7	3	0	15	0	855
792	31	0	1	12	15	12	40	87	38	1	12	1	0	6	0	864
793	36	0	4	16	15	13	44	110	34	1	13	4	0	13	1	1092
794	30	0		16	9	12	40	110	30	1	10	3	0	4	0	1025
795	31	0	2	12	11		35	109	32	1	17	2	0	2	0	850
796	35	0	2	12	17	12	40	85	21	1	12	2	0	10	0	673
797	37	0	2	14	12	12	40	105	42	1	10	3	0	12	0	800
798	33	0	3	16	7	12	44	122	39	1	10	3	0	3	0	1049
799	35	0	2	17	9	9	40	108	40	1	14	3	0	11	1	884
800	31	0	3	16	10	8	40	122	38	0	12	3	1	2	1	800
801	32	0	1	17	9	8	40	79	32	1	8	0	0	9	1	1200
802	29	0	6	12	8	12	40	105	30	1	12	7	0	10	1	664
803	37	0	3	12	18		45	90	47	1		6	0	18	1	1111
804	34	0	2	16	8		43	111	38	1		4	0	8	1	850
805	37	0	2	12	6	12	40	110	42	1	8	5	0	12	1	1000
806	29	0		12	8	14	40	92	32	0	14	4	0	4	1	875
807	33	0	2	16	10	12	40	131	32	1	12	3	0	2	0	1202
808	29	0	3	12	10	12	40	104	32	1	12	2	0	2	0	666
809	37	0	1	16	15	7	40	110	39	1	12	2	0	11	0	923
810	28	0	5	12	10	3	40	99	20	1	10	4	1	10	1	788
811	38	0	9	10	23	6	40	86	31	1		9	1	5	1	950
812	37	0	4	12	9		40	105	42	1		3	1	16	1	1442
813	30	1	5	12	11	0	40	85	26	1	6	8	1	12	0	866
814	34	0	7	9	17		40	72	34	1	4	10	1	5	0	625
815	32	0	1	12	13	7	40	86	35	0	6	6	1	9	0	680
816	35	0	2	12	11	8	40	68	38	1	12	5	1	19	0	693
817	38	1	9	12	16		36	95	22	0	6	8	1	2	0	875
818	38	0	1	17	8	13	40	116	42	1	12	6	0	2	0	2308
819	32	0	3	14	10	6	45	96	45	1	10	2	1	4	0	1196
820	32	1		12	13	8	38	85	36	1	2	6	1	8	1	700
821	29	0	2	12	8	4	40	100	32	1	12	3	1	8	1	721
822	32	0	3	13	13	8	40	101	38	1	12	5	1	2	1	1500
