"OBS"	"AIRCO"	"BATHRMS"	"BEDROOMS"	"DRIVEWAY"	"FULLBASE"	"GARAGEPL"	"GASHW"	"LOTSIZE"	"PREFAREA"	"PRICE"	"RECROOM"	"STORIES"
"460"	0	1	3	1	1	0	0	2145	1	47000	0	2
"461"	0	1	3	1	1	0	0	2145	1	47600	0	2
"462"	0	1	3	1	0	0	0	2145	1	49000	0	3
"463"	0	1	3	1	1	0	0	2610	1	49000	0	2
"464"	0	2	3	1	1	0	0	1950	1	49000	0	2
"465"	0	1	3	1	0	0	0	2145	1	49500	0	3
"466"	1	1	3	1	0	0	1	2275	1	52000	0	3
"467"	0	1	3	1	0	0	0	2856	1	54000	0	3
"468"	0	1	3	1	1	0	0	2015	1	55000	0	2
"469"	0	1	2	1	0	0	0	2176	1	55000	1	2
"470"	0	2	4	1	1	0	0	2145	1	56000	0	1
"471"	0	1	3	1	0	1	0	2145	1	60000	0	3
"472"	0	1	3	1	1	0	0	2787	1	60500	0	1
"473"	0	1	3	1	0	3	0	9500	1	50000	0	2
"474"	0	2	4	1	1	0	0	4990	1	64900	1	2
"475"	0	1	3	1	1	0	0	6670	1	93000	0	3
"476"	0	2	4	1	1	1	0	6254	1	85000	0	1
"477"	0	1	2	1	0	1	0	10360	1	61500	0	1
"478"	0	2	3	1	1	2	0	5500	1	88500	1	1
"479"	1	2	4	1	1	0	0	5450	1	88000	0	1
"480"	0	1	3	1	0	1	0	5500	1	89000	0	3
"481"	0	1	4	1	1	0	0	6000	1	89500	1	3
"482"	1	1	3	1	1	2	0	5700	1	95000	1	1
"483"	0	2	2	1	1	0	0	6600	1	95500	0	4
"484"	0	1	2	1	0	0	0	4000	1	51500	0	1
"485"	0	1	3	1	0	2	0	4880	1	62900	0	1
"486"	1	2	4	1	0	1	0	4880	1	118500	0	2
"487"	0	1	2	1	0	0	0	8050	0	42900	0	1
"488"	0	1	2	1	0	1	0	8100	0	44100	0	1
"489"	0	1	3	1	0	1	0	5880	0	47000	0	1
"490"	0	1	2	1	0	0	0	5880	0	50000	0	1
"491"	0	1	3	1	0	0	0	12944	0	50000	0	1
"492"	0	1	3	1	0	0	0	6020	0	53000	0	1
"493"	0	1	2	1	0	0	0	4050	0	53000	0	1
"494"	0	1	2	1	0	1	0	8400	0	54000	0	1
"495"	1	1	2	1	0	0	0	5600	0	58500	0	1
"496"	0	1	3	1	1	0	0	5985	0	59000	0	1
"497"	0	1	3	1	1	0	0	4500	0	60000	0	1
"498"	0	1	3	1	0	1	0	4920	0	62900	0	2
"499"	0	1	3	1	0	0	0	8250	0	64000	0	1
"500"	0	1	4	1	0	3	0	8400	0	65000	0	4
"501"	1	1	2	1	0	3	0	6440	0	67900	0	1
"502"	1	1	4	1	1	2	0	8100	0	68500	0	4
"503"	0	1	3	1	0	0	0	6720	0	70000	0	1
"504"	1	1	3	1	0	0	0	5948	0	70500	0	2
"505"	0	2	3	1	1	0	0	8150	0	71500	1	1
"506"	0	1	2	1	1	0	0	4800	0	71900	1	1
"507"	0	2	4	1	0	2	0	9800	0	75000	1	2
"508"	1	1	3	1	0	2	0	8520	0	75000	0	1
"509"	1	1	3	1	0	2	0	8372	0	87000	0	3
"510"	0	1	3	1	0	1	0	4040	0	64000	0	2
"511"	0	1	3	1	1	2	0	4646	0	70000	1	2
"512"	0	1	4	1	0	0	0	4775	0	47500	0	2
"513"	1	1	4	1	0	0	0	4950	0	62600	0	2
"514"	0	1	3	1	1	0	0	5010	0	66000	0	2
"515"	0	1	2	1	1	1	0	6060	0	58900	0	1
"516"	0	1	2	1	0	0	1	3584	0	53000	0	1
"517"	1	2	3	1	0	0	0	6000	0	95000	1	3
"518"	1	2	4	1	0	0	0	6000	0	96500	0	4
"519"	1	2	4	1	0	1	0	6240	0	101000	0	2
"520"	0	2	3	1	0	1	0	6000	0	102000	1	2
"521"	1	2	4	1	0	1	0	7680	0	103000	1	4
"522"	1	2	4	1	0	1	0	6000	0	105000	1	4
"523"	1	2	4	1	0	1	0	6000	0	108000	0	4
"524"	0	2	4	1	0	2	0	6000	0	110000	0	4
"525"	1	2	4	1	0	1	0	6000	0	113000	0	4
"526"	1	2	3	1	0	2	0	7475	0	120000	0	4
"527"	1	2	3	1	0	2	0	5150	0	105000	0	4
"528"	1	1	3	1	0	1	0	6325	0	106000	0	4
"529"	1	2	3	1	0	1	0	6000	0	107500	0	4
"530"	1	2	3	1	0	0	0	6000	0	108000	0	3
"531"	1	1	3	1	0	2	0	6000	0	113750	1	4
"532"	1	1	3	1	0	2	0	7000	0	120000	0	4
"533"	0	1	3	1	0	2	0	12900	0	70000	0	1
"534"	0	1	3	1	1	0	1	7686	0	71000	1	1
"535"	1	1	3	1	0	0	0	5000	0	82000	0	3
"536"	1	2	3	1	0	0	0	5800	0	82000	0	4
"537"	1	2	3	1	0	0	0	6000	0	82500	0	4
"538"	1	1	3	1	0	0	0	4800	0	83000	0	3
"539"	1	2	3	1	0	0	0	6500	0	84000	0	3
"540"	0	2	4	1	0	0	0	7320	0	85000	0	2
"541"	0	2	3	1	0	1	0	6525	0	85000	0	4
"542"	1	2	3	1	0	0	0	4800	0	91500	1	4
"543"	1	2	3	1	0	0	0	6000	0	94000	0	4
"544"	1	2	3	1	0	1	0	6000	0	103000	1	4
"545"	1	2	3	1	0	1	0	6000	0	105000	1	2
"546"	1	1	3	1	0	1	0	6000	0	105000	0	2
