UK NZ EU
0.49048 1.3215 0.70331
0.48938 1.3057 0.70288
0.48979 1.3148 0.70605
0.49098 1.3157 0.70765
0.49042 1.3244 0.70792
0.48935 1.3112 0.70656
0.49191 1.3121 0.70967
0.48943 1.3096 0.70645
0.49162 1.2927 0.70286
0.49167 1.2901 0.70588
0.48974 1.3068 0.70343
0.492 1.3422 0.70601
0.49053 1.3275 0.70379
0.48885 1.3287 0.69978
0.4882 1.3303 0.7011
0.49317 1.3497 0.70736
0.48794 1.3288 0.70183
0.48807 1.3311 0.70245
0.48817 1.3146 0.69934
0.48748 1.3073 0.69496
0.48524 1.3019 0.6943
0.48379 1.3051 0.69325
0.48135 1.3002 0.69124
0.48033 1.3113 0.6928
0.48034 1.3141 0.6906
0.48082 1.304 0.69116
0.47944 1.2889 0.68705
0.47523 1.2759 0.68189
0.47383 1.2882 0.68071
0.47821 1.3041 0.68194
0.48244 1.3259 0.68497
0.48581 1.3078 0.68168
0.48835 1.319 0.6831
0.48828 1.3235 0.68255
0.48833 1.3254 0.68213
0.48427 1.3121 0.67632
0.48586 1.3327 0.67446
0.48543 1.3322 0.67351
0.48632 1.3233 0.67453
0.4836 1.3238 0.67296
0.48416 1.3199 0.67495
0.48334 1.2982 0.67802
0.48446 1.2952 0.67724
0.48625 1.3043 0.68082
0.48411 1.3046 0.68228
0.48603 1.312 0.67758
0.49292 1.3015 0.6819
0.49289 1.2938 0.68318
0.49289 1.2833 0.68198
0.48887 1.2834 0.67965
0.49056 1.2776 0.68022
0.48793 1.2664 0.68019
0.49038 1.2792 0.68538
0.49516 1.3031 0.69289
0.49582 1.3271 0.69599
0.49654 1.3314 0.69484
0.50172 1.3247 0.69722
0.50455 1.323 0.69728
0.50426 1.3079 0.69636
0.50574 1.3038 0.69406
0.50238 1.299 0.68489
0.50177 1.2945 0.67956
0.50413 1.3027 0.68485
